"task","candidate","modelFile","feature","gain","gainShare","rank"
"Term","LightGBM","term3.rds","prevAAVP",0.145329040506212,0.145329040506212,1
"Term","LightGBM","term3.rds","mP_2_ev_avg",0.0972121688881566,0.0972121688881565,2
"Term","LightGBM","term3.rds","isResign",0.0693970903558491,0.069397090355849,3
"Term","LightGBM","term3.rds","ageAtSigning",0.0651630159386896,0.0651630159386895,4
"Term","LightGBM","term3.rds","mP_2_pp_avg",0.0455081171250701,0.04550811712507,5
"Term","LightGBM","term3.rds","prevTerm",0.0343937531667889,0.0343937531667889,6
"Term","LightGBM","term3.rds","oGF_2_ev_p60_avg",0.0266152271205817,0.0266152271205816,7
"Term","LightGBM","term3.rds","oxGF_2_ev_p60_avg",0.0238240185725653,0.0238240185725653,8
"Term","LightGBM","term3.rds","dMP_2_pp_avg",0.0165219633054137,0.0165219633054137,9
"Term","LightGBM","term3.rds","dMP_2_sh_avg",0.0148900742377257,0.0148900742377257,10
"Term","LightGBM","term3.rds","x_2_ev_p60_avg",0.0143274402512166,0.0143274402512166,11
"Term","LightGBM","term3.rds","mP_2_sh_avg",0.0135577538792482,0.0135577538792482,12
"Term","LightGBM","term3.rds","contractNumber",0.013079179569584,0.013079179569584,13
"Term","LightGBM","term3.rds","iGF_2_ev_p60_avg",0.0113350720722167,0.0113350720722167,14
"Term","LightGBM","term3.rds","dMP_2_ev_avg",0.0102443114043756,0.0102443114043756,15
"Term","LightGBM","term3.rds","ixGF_2_ev_p60_avg",0.00963145020262665,0.00963145020262664,16
"Term","LightGBM","term3.rds","assists_2_pp_p60_avg",0.00959152604397692,0.00959152604397691,17
"Term","LightGBM","term3.rds","dHits_2_sh_p60_avg",0.00929580050506794,0.00929580050506793,18
"Term","LightGBM","term3.rds","dOGF_2_sh_p60_avg",0.00895016362974953,0.00895016362974953,19
"Term","LightGBM","term3.rds","oFenwickA_2_ev_p60_avg",0.00816587281823151,0.0081658728182315,20
"Term","LightGBM","term3.rds","oSOGA_2_ev_p60_avg",0.00791422777046426,0.00791422777046425,21
"Term","LightGBM","term3.rds","takeaways_2_ev_p60_avg",0.00784899412539189,0.00784899412539188,22
"Term","LightGBM","term3.rds","takeaways_2_pp_p60_avg",0.00781142549891824,0.00781142549891823,23
"Term","LightGBM","term3.rds","dTakeaways_2_pp_p60_avg",0.00698865573295848,0.00698865573295848,24
"Term","LightGBM","term3.rds","dX_2_ev_p60_avg",0.00696169460786933,0.00696169460786932,25
"Term","LightGBM","term3.rds","oCorsiA_2_ev_p60_avg",0.00688049611443062,0.00688049611443061,26
