"isResign","term","contracts","scenarioTotal","sharePct"
"Not Re-sign",1,1300,1923,67.6027041081643
"Not Re-sign",2,418,1923,21.736869474779
"Not Re-sign",3,85,1923,4.42017680707228
"Not Re-sign",4,60,1923,3.1201248049922
"Not Re-sign",5,20,1923,1.04004160166407
"Not Re-sign",6,16,1923,0.832033281331253
"Not Re-sign",7,22,1923,1.14404576183047
"Not Re-sign",8,2,1923,0.104004160166407
"Re-sign",1,992,2277,43.5660957400088
"Re-sign",2,745,2277,32.7184892402284
"Re-sign",3,180,2277,7.90513833992095
"Re-sign",4,102,2277,4.47957839262187
"Re-sign",5,61,2277,2.67896354852877
"Re-sign",6,67,2277,2.94246815985946
"Re-sign",7,39,2277,1.71277997364954
"Re-sign",8,91,2277,3.99648660518226
