situationCode,bucket,shots,nBuckets
0451,Empty-Net Context,2,2
0451,Special Teams,2,2
0541,Empty-Net Context,23,2
0541,Special Teams,63,2
0551,Empty-Net Context,25,2
0551,Special Teams,32,2
0641,Empty-Net Context,50,2
0641,Special Teams,374,2
0651,Empty-Net Context,1080,2
0651,Special Teams,3021,2
1340,Empty-Net Context,1,2
1340,Special Teams,14,2
1360,Empty-Net Context,1,2
1360,Special Teams,4,2
1450,Empty-Net Context,13,2
1450,Special Teams,35,2
1460,Empty-Net Context,61,2
1460,Special Teams,426,2
1550,Empty-Net Context,10,2
1550,Special Teams,21,2
1560,Empty-Net Context,987,2
1560,Special Teams,3082,2
