dataset,datasetLabel,model,engine,engineLabel,rank,feature,gain,cover,frequency
sd,Standard 5v5,sd1,xgboost,XGBoost,1,distance,0.22111492722914255,0.053149649792051,0.045547210300429186
sd,Standard 5v5,sd1,xgboost,XGBoost,2,xCoordNorm,0.08890162831308161,0.024999709402983034,0.02698497854077253
sd,Standard 5v5,sd1,xgboost,XGBoost,3,yCoordNorm,0.08266833295315211,0.04476095303227976,0.03814377682403434
sd,Standard 5v5,sd1,xgboost,XGBoost,4,angle,0.0772312198267448,0.04578218075640726,0.041630901287553645
sd,Standard 5v5,sd1,xgboost,XGBoost,5,dSecondsElapsedInSequence,0.07129395777886491,0.05993334825664405,0.04082618025751073
sd,Standard 5v5,sd1,xgboost,XGBoost,6,minSecondsElapsedInShiftFor,0.06571535311741626,0.060823919116052845,0.039163090128755365
sd,Standard 5v5,sd1,xgboost,XGBoost,7,dDistancePerSecond,0.01993043605910743,0.02254765413920274,0.02650214592274678
sd,Standard 5v5,sd1,xgboost,XGBoost,8,shotType_tip.in,0.019627339650674095,0.012895055479688321,0.006545064377682403
sd,Standard 5v5,sd1,xgboost,XGBoost,9,dDistance,0.018786957999033398,0.015472228778494959,0.0226931330472103
sd,Standard 5v5,sd1,xgboost,XGBoost,10,minSecondsElapsedInShiftAgainst,0.016858123959769447,0.03932139750278245,0.027736051502145923
sd,Standard 5v5,sd1,xgboost,XGBoost,11,shotType_snap,0.016835081792564863,0.020424921658001863,0.009710300429184549
sd,Standard 5v5,sd1,xgboost,XGBoost,12,isRebound_yes,0.015316048845771323,0.008389539703414845,0.006598712446351932
sd,Standard 5v5,sd1,xgboost,XGBoost,13,dAnglePerSecond,0.015047866106364619,0.024199979670240117,0.026394849785407726
sd,Standard 5v5,sd1,xgboost,XGBoost,14,dAngle,0.013937173842394204,0.015013428652337998,0.02119098712446352
sd,Standard 5v5,sd1,xgboost,XGBoost,15,shooterSecondsElapsedInShift,0.012561677538118803,0.026837679322457057,0.02301502145922747
sd,Standard 5v5,sd1,xgboost,XGBoost,16,avgSecondsElapsedInShiftFor,0.011982733242020335,0.014207486934907617,0.018723175965665237
sd,Standard 5v5,sd1,xgboost,XGBoost,17,secondsElapsedInSequence,0.01171109170791882,0.018205940011698483,0.022746781115879827
sd,Standard 5v5,sd1,xgboost,XGBoost,18,dXCoordNormPerSecond,0.011574287099999645,0.016428449648763443,0.022210300429184548
sd,Standard 5v5,sd1,xgboost,XGBoost,19,dYCoordNormPerSecond,0.01148275252129325,0.026714589151854474,0.024463519313304722
sd,Standard 5v5,sd1,xgboost,XGBoost,20,dXCoordNorm,0.009142263844042202,0.01216495349186709,0.021298283261802574
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,1,distance,0.1941129721378003,0.09094252652653503,0.0876923076923077
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,2,dSecondsElapsedInSequence,0.07524513502967967,0.08901317918375441,0.08076923076923077
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,3,xCoordNorm,0.05418894409118251,0.022100158823406053,0.021153846153846155
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,4,angle,0.049462899004267855,0.039112420584978755,0.04038461538461539
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,5,minSecondsElapsedInShiftFor,0.04171842060354352,0.042173149102075695,0.038461538461538464
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,6,yCoordNorm,0.038015484840287474,0.03653986897533552,0.03307692307692308
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,7,avgSecondsElapsedInShiftFor,0.03052793208268048,0.025802233402715157,0.02423076923076923
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,8,dAnglePerSecond,0.0256119851825735,0.02994417156856629,0.03307692307692308
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,9,minSecondsElapsedInShiftAgainst,0.02554012405966516,0.035765395822809035,0.03192307692307692
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,10,shotType_snap,0.024385087471417464,0.021719226870063977,0.019230769230769232
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,11,dYCoordNorm,0.023340803846660103,0.03012932838909319,0.02923076923076923
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,12,secondsElapsedInGame,0.0206679738645946,0.014817987527199471,0.01653846153846154
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,13,minSecondsElapsedSinceLastShiftFor,0.01693924813168958,0.02045750591240901,0.024615384615384615
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,14,shooterSecondsElapsedInShift,0.016439318242174313,0.02330679728606556,0.02423076923076923
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,15,maxSecondsElapsedSinceLastShiftAgainst,0.016375009361515227,0.023749580908486872,0.023846153846153847
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,16,corsiDifferential,0.015545920151105562,0.019528270858280836,0.019230769230769232
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,17,goalieWeight,0.015506220275634296,0.02490737513462029,0.021538461538461538
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,18,dDistance,0.015205312549333778,0.021463856459530823,0.023076923076923078
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,19,dAngle,0.014690481988862575,0.01776164915131812,0.018461538461538463
ev,Non-Standard Even Strength,ev2,lightgbm,LightGBM,20,avgSecondsElapsedSinceLastShiftFor,0.014370401525859921,0.018896083090417317,0.02
pp,Power Play,pp1,xgboost,XGBoost,1,distance,0.22053001465499864,0.08310004556107656,0.08073322932917316
pp,Power Play,pp1,xgboost,XGBoost,2,dSecondsElapsedInSequence,0.12734538999054756,0.0754189136016072,0.06825273010920437
pp,Power Play,pp1,xgboost,XGBoost,3,xCoordNorm,0.1068635263562708,0.04751312377800827,0.044851794071762874
pp,Power Play,pp1,xgboost,XGBoost,4,yCoordNorm,0.07162652916284258,0.06624579562358465,0.06279251170046801
pp,Power Play,pp1,xgboost,XGBoost,5,angle,0.04847000274073875,0.061281776662241695,0.05655226209048362
pp,Power Play,pp1,xgboost,XGBoost,6,dDistance,0.03621770052281393,0.01709528331566157,0.016770670826833072
pp,Power Play,pp1,xgboost,XGBoost,7,isRebound_yes,0.03095994606892612,0.035132842010030044,0.029641185647425898
pp,Power Play,pp1,xgboost,XGBoost,8,minSecondsElapsedInShiftFor,0.02620083695565042,0.027047111092562397,0.02613104524180967
pp,Power Play,pp1,xgboost,XGBoost,9,shotType_snap,0.023436110243816873,0.03566928776269151,0.029641185647425898
pp,Power Play,pp1,xgboost,XGBoost,10,dXCoordNorm,0.022104368836531788,0.011018918764108505,0.013260530421216849
pp,Power Play,pp1,xgboost,XGBoost,11,dXCoordNormPerSecond,0.02112949261168612,0.01955936851420356,0.02262090483619345
pp,Power Play,pp1,xgboost,XGBoost,12,dDistancePerSecond,0.01863063503959858,0.023978839824907987,0.02379095163806552
pp,Power Play,pp1,xgboost,XGBoost,13,shooterPositionCode_D,0.016570436064730187,0.008695402184275287,0.0078003120124804995
pp,Power Play,pp1,xgboost,XGBoost,14,skaterCountAgainst,0.01465190959105163,0.01789467109295892,0.014430577223088924
pp,Power Play,pp1,xgboost,XGBoost,15,shotType_slap,0.0133402060100427,0.03159791948094033,0.02691107644305772
pp,Power Play,pp1,xgboost,XGBoost,16,dYCoordNorm,0.013216359597367444,0.022731511838673276,0.023010920436817472
pp,Power Play,pp1,xgboost,XGBoost,17,dAnglePerSecond,0.011832803838159617,0.02287798123514543,0.0234009360374415
pp,Power Play,pp1,xgboost,XGBoost,18,dAngle,0.011182202710375637,0.019883582194634604,0.02262090483619345
pp,Power Play,pp1,xgboost,XGBoost,19,secondsElapsedInSequence,0.011006708882238389,0.020958985548546312,0.0202808112324493
pp,Power Play,pp1,xgboost,XGBoost,20,secondsElapsedInPeriod,0.01062513642223505,0.02079591744025416,0.02574102964118565
sh,Shorthanded,sh2,lightgbm,LightGBM,1,distance,0.21185434018991078,0.08363482096759499,0.07932875667429443
sh,Shorthanded,sh2,lightgbm,LightGBM,2,xCoordNorm,0.09023967016375559,0.032366342591186564,0.030892448512585814
sh,Shorthanded,sh2,lightgbm,LightGBM,3,minSecondsElapsedInShiftFor,0.0626140312573102,0.04673631727002156,0.043478260869565216
sh,Shorthanded,sh2,lightgbm,LightGBM,4,yCoordNorm,0.056513488617915865,0.054230760470130895,0.04652936689549962
sh,Shorthanded,sh2,lightgbm,LightGBM,5,zoneCode_O,0.03244733831092492,0.011158561932456646,0.009534706331045004
sh,Shorthanded,sh2,lightgbm,LightGBM,6,dSecondsElapsedInSequence,0.03219330744867738,0.045346998663710635,0.04233409610983982
sh,Shorthanded,sh2,lightgbm,LightGBM,7,angle,0.03178004112598494,0.032049234860448875,0.03279938977879481
sh,Shorthanded,sh2,lightgbm,LightGBM,8,dDistancePerSecond,0.02967489042550515,0.011434741055972303,0.011823035850495805
sh,Shorthanded,sh2,lightgbm,LightGBM,9,dYCoordNormPerSecond,0.025013613206463177,0.04405294287362954,0.04309687261632342
sh,Shorthanded,sh2,lightgbm,LightGBM,10,avgSecondsElapsedInShiftFor,0.02486779191099995,0.0273013977890485,0.029748283752860413
sh,Shorthanded,sh2,lightgbm,LightGBM,11,dDistance,0.022294721265243168,0.010150887759285692,0.013348588863463006
sh,Shorthanded,sh2,lightgbm,LightGBM,12,maxSecondsElapsedSinceLastShiftAgainst,0.022100049561209277,0.03343214724997722,0.03470633104500381
sh,Shorthanded,sh2,lightgbm,LightGBM,13,shotType_snap,0.021300997905962137,0.023887596045798282,0.02135774218154081
sh,Shorthanded,sh2,lightgbm,LightGBM,14,shooterSecondsElapsedInShift,0.0195690660002846,0.031652879855437785,0.030129672006102212
sh,Shorthanded,sh2,lightgbm,LightGBM,15,minSecondsElapsedInShiftAgainst,0.016448869335276298,0.023504053474352356,0.02479023646071701
