partition,version,feature,split,gain,cover,rank
standard,1,distance,0.45043590571520825,0.6829552886968657,0.46857643485654926,1
standard,1,angle,0.39683564740071037,0.2144473986871166,0.3396354627403924,2
standard,1,shotType_snap,0.03842428156280271,0.03270575881604472,0.04254313206462357,3
standard,1,shotType_tip.in,0.014530190506942202,0.02245512627849745,0.014327193804784998,4
standard,1,shotType_wrist,0.024216984178237002,0.016162488693540374,0.043070771259471806,5
standard,1,shotType_slap,0.03680981595092025,0.015771837364219023,0.03832766929987259,6
standard,1,shotType_wrap.around,0.013884404262189216,0.007860193793722997,0.010577901824376606,7
standard,1,shotType_deflected,0.010009686793671296,0.004345093260164984,0.013224480302858103,8
standard,1,shotType_bat,0.004843396835647401,0.0014589997561345906,0.006567918892979666,9
standard,1,shotType_poke,0.003551824346141427,8.071612478101017e-4,0.007625998025269374,10
standard,1,shotType_between.legs,0.0038747174685179204,6.269583288169934e-4,0.009296271165767735,11
standard,1,shotType_cradle,0.002583144979011947,4.0369507706644847e-4,0.006226765763053912,12
standard,2,distance,0.2534939042521558,0.5381038326530696,0.2700522757006035,1
standard,2,angle,0.19223907225691347,0.17268569046280874,0.17719068372146632,2
standard,2,dDdT,0.25052036871840616,0.10437160919294237,0.23282714056983533,3
standard,2,dAdT,0.23535533749628307,0.1028241206423986,0.20095957625694852,4
standard,2,shotType_snap,0.015165031222123104,0.02479363703228094,0.024001797938411156,5
standard,2,shotType_tip.in,0.005501040737436813,0.015332561210017344,0.006768814419985461,6
standard,2,shotType_wrist,0.009961344038061254,0.013314333691838914,0.02396893135794476,7
standard,2,shotType_slap,0.015165031222123104,0.012702951905677492,0.020465011813228715,8
standard,2,shotType_wrap.around,0.0053523639607493305,0.005645413508517931,0.007097761710909224,9
standard,2,isRebound,0.004014272970561998,0.0038288563491756284,0.005968741740233177,10
standard,2,shotType_deflected,0.003568242640499554,0.0025126790761688207,0.007229469743802251,11
standard,2,isRush,0.002824858757062147,0.001569849446271212,0.0051619531654777525,12
standard,2,shotType_bat,0.0022301516503122213,0.0010455035521095611,0.004156878938117072,13
standard,2,shotType_poke,0.0014867677668748143,4.820067501843331e-4,0.00404415592959511,14
standard,2,shotType_between.legs,0.0014867677668748143,4.147582627327712e-4,0.00456521759284106,15
standard,2,shotType_cradle,0.0016354445435622957,3.721962638057995e-4,0.005541589400600619,16
standard,3,distance,0.2162613257033858,0.6227733199354252,0.26099494826159814,1
standard,3,angle,0.16165951359084407,0.15857943946106454,0.12455604965993924,2
standard,3,dDdT,0.16213638531235097,0.04520629871485058,0.1108058434710427,3
standard,3,dAdT,0.15069146399618502,0.04419460032254867,0.08557902668631595,4
standard,3,shotType_snap,0.0441106342393896,0.029299735859929763,0.05235919772959725,5
standard,3,shotType_tip.in,0.01335240820219361,0.02086587429044932,0.012185227964832722,6
standard,3,shotType_slap,0.03934191702432046,0.014138822310029855,0.05544233731381114,7
standard,3,shotType_wrist,0.02074391988555079,0.013770341384876664,0.04791023769878107,8
standard,3,shotType_wrap.around,0.012875536480686695,0.00630386261026749,0.01041078456359893,9
standard,3,secondsElapsedInGame,0.026943252265140678,0.0059786729693835266,0.02484893196851145,10
standard,3,secondsElapsedInPeriod,0.02575107296137339,0.005931476575595057,0.03901360606211226,11
standard,3,SOGAgainst,0.0178826895565093,0.003821255392638537,0.02208876166539962,12
standard,3,corsiAgainst,0.01597520267048164,0.0037592287090953335,0.017303727230994947,13
standard,3,isRebound,0.008583690987124463,0.0035619371820203856,0.005207298332697928,14
standard,3,goalsFor,0.014544587505960896,0.0035307185345922723,0.021771232400810338,15
standard,3,fenwickFor,0.013829279923700524,0.0030316025837633276,0.021380156567111036,16
standard,3,corsiFor,0.011683357176919408,0.0030276040635094517,0.015682450971380803,17
standard,3,shotType_deflected,0.004768717215069146,0.002990100175285014,0.007743965761894027,18
standard,3,fenwickAgainst,0.01239866475917978,0.0028807442443481842,0.015732237348067703,19
standard,3,goalsAgainst,0.007629947544110634,0.0020784459319306797,0.010923111411963567,20
standard,3,isRush,0.006437768240343348,0.0014997392173796474,0.014334275811422229,21
standard,3,SOGFor,0.00619933237958989,0.0014981725841271372,0.006387000680517434,22
standard,3,shotType_bat,0.0026227944682880307,6.710857095541439e-4,0.005410861296463426,23
standard,3,shotType_between.legs,0.0019074868860276585,3.2379082020106436e-4,0.00601715318193192,24
standard,3,shotType_poke,0.0011921793037672865,1.9393885624866122e-4,0.004221195128925773,25
standard,3,isPlayoff,4.768717215069146e-4,8.919156088550476e-5,0.001690380830278389,26
standard,4,distance,0.19449617214980344,0.5759763607406392,0.22188983760341696,1
standard,4,angle,0.13097454996896338,0.12565744239140672,0.10100209827325865,2
standard,4,dAdT,0.14214773432650527,0.04661349394289061,0.0795730936452399,3
standard,4,goalieSide_neutral,0.0035174839644113386,0.04581080130963214,0.006427958959770843,4
standard,4,dDdT,0.14483757500517278,0.04467490962381852,0.09501824884012589,5
standard,4,shotType_snap,0.03662321539416512,0.028415617342749756,0.044094515093253774,6
standard,4,shotType_tip.in,0.012828470929029587,0.02340566986441613,0.009273010259221535,7
standard,4,shotType_slap,0.032898820608317815,0.013188426187484436,0.045314058595197985,8
standard,4,shotType_wrist,0.017173598179184773,0.01184096942002693,0.039014638686866894,9
standard,4,shooterWeight,0.033726463894061656,0.008668687058744299,0.0435364748084353,10
standard,4,secondsElapsedInGame,0.024829298572315334,0.006578614080734665,0.021563094482665978,11
standard,4,secondsElapsedInPeriod,0.02462238775087937,0.006324588366627573,0.034219942630463934,12
standard,4,shotType_wrap.around,0.009724808607490172,0.006323841526357038,0.0077318858138630845,13
standard,4,shooterSide_onwing,0.015104489964825161,0.006261390733997703,0.005335833205230732,14
standard,4,shooterAge,0.01882888475067246,0.005484230379517339,0.020459797475497487,15
standard,4,goalieWeight,0.01675977653631285,0.004446502314534402,0.014736668642204725,16
standard,4,isRebound,0.007862611214566521,0.003862025263183793,0.004987208637155653,17
standard,4,SOGAgainst,0.0148975791433892,0.0037065263323179647,0.017435960863954034,18
standard,4,shotType_deflected,0.00558659217877095,0.0034002924661451876,0.00622723160814834,19
standard,4,goalieHeight,0.012000827643285744,0.0032098137803584226,0.021270033663636535,20
standard,4,corsiAgainst,0.012621560107593627,0.003155225420817101,0.014022721826393386,21
standard,4,fenwickFor,0.012414649286157667,0.003080776086837675,0.019319159651017867,22
standard,4,goalsFor,0.011793916821849782,0.003072256950532825,0.016987676046822983,23
standard,4,fenwickAgainst,0.009724808607490172,0.0026733137286230582,0.01184510411913893,24
standard,4,corsiFor,0.008483343678874405,0.0025765877876304556,0.010467697027605475,25
standard,4,shooterPositionCode_D,0.00931098696461825,0.0025182318039127963,0.015998208810825452,26
standard,4,goalsAgainst,0.006414235464514794,0.0017814067936303285,0.009079547007656013,27
standard,4,isRush,0.005793503000206911,0.0016697191004176942,0.013139297914909377,28
standard,4,SOGFor,0.006000413821642872,0.0015408807951800016,0.004283524190887901,29
standard,4,shooterHeight,0.006828057107386716,0.0014084898540402554,0.019167222954188448,30
standard,4,shotType_bat,0.002276019035795572,6.308607407341914e-4,0.004840209856855859,31
standard,4,shooterPositionCode_R,0.002276019035795572,5.47967789761112e-4,0.005655429231563241,32
standard,4,shooterSide_offwing,0.0016552865714876887,5.262698604982495e-4,0.002370885949422474,33
standard,4,shotType_between.legs,0.0016552865714876887,3.358514033959489e-4,0.004538906408471253,34
standard,4,goalieAge,0.0016552865714876887,3.0749886619606763e-4,0.00523284386717453,35
standard,4,shotType_poke,8.276432857438444e-4,1.5959668992817367e-4,0.0023408684314497117,36
standard,4,isPlayoff,6.207324643078833e-4,1.2576072716624404e-4,8.79050129282873e-4,37
standard,4,goalieSide_glove,2.069108214359611e-4,3.910247511504344e-5,7.20054788725983e-4,38
special,1,distance,0.44306651634723787,0.7404481365136799,0.4081017887592323,1
special,1,angle,0.2615558060879369,0.10823833559499364,0.22522870920020907,2
special,1,shotType_snap,0.05636978579481398,0.04039658470405075,0.08265920485290555,3
special,1,skaterCountAgainst,0.046223224351747465,0.03383779979184789,0.04547129073908712,4
special,1,shotType_slap,0.06426155580608793,0.026222417232624712,0.09641662361754656,5
special,1,shotType_tip.in,0.02818489289740699,0.016970361754218233,0.03797095535052506,6
special,1,shotType_wrist,0.04171364148816235,0.01455310974612757,0.05389318587567981,7
special,1,skaterCountFor,0.033821871476888386,0.013028207974749557,0.02076984726313828,8
special,1,isEmptyNetFor,0.009019165727170236,0.002840813403629408,0.002011496694980948,9
special,1,shotType_deflected,0.006764374295377677,0.001565781429985459,0.01202166913630009,10
special,1,shotType_poke,0.004509582863585118,8.822956266054983e-4,0.006679202509738409,11
special,1,shotType_wrap.around,0.0033821871476888386,7.409961633666009e-4,0.006748746314519806,12
special,1,shotType_bat,0.0011273957158962795,2.7516006412077796e-4,0.0020272796861370095,13
special,2,distance,0.26816479400749066,0.5441537982173325,0.2976352901484846,1
special,2,angle,0.19325842696629214,0.100041547129121,0.1604624193519876,2
special,2,dDdT,0.149812734082397,0.09732716355703343,0.12367264864269285,3
special,2,dAdT,0.1445692883895131,0.060534669444997406,0.09767083909503531,4
special,2,isRebound,0.015730337078651686,0.03245680252417564,0.020969296576575716,5
special,2,shotType_snap,0.039700374531835204,0.032104304887043994,0.06536866198775437,6
special,2,shotType_slap,0.04868913857677903,0.031391902483868736,0.07918606468281567,7
special,2,skaterCountAgainst,0.03146067415730337,0.029399861327546836,0.028197618524232877,8
special,2,shotType_wrist,0.03146067415730337,0.02639877600773718,0.042844315893708435,9
special,2,skaterCountFor,0.030711610486891385,0.020046888147296278,0.017413588568551935,10
special,2,shotType_tip.in,0.01947565543071161,0.014818644144639072,0.02812688392878542,11
special,2,isEmptyNetFor,0.008988764044943821,0.00495437047798333,0.005606143699513149,12
special,2,shotType_deflected,0.006741573033707865,0.0033186553507787357,0.011254283523345236,13
special,2,isRush,0.0044943820224719105,0.0011168730794729109,0.009141951671868691,14
special,2,shotType_poke,0.003745318352059925,9.489193650205958e-4,0.007095013398092135,15
special,2,shotType_wrap.around,0.0022471910112359553,7.818339753265555e-4,0.0037490962293065385,16
special,2,shotType_between.legs,7.49063670411985e-4,2.049898806258079e-4,0.0016058840772494442,17
special,3,distance,0.19471018570624649,0.4506784312956815,0.23857416941512133,1
special,3,dDdT,0.1389983117613956,0.14944250856649416,0.1185528166220664,2
special,3,angle,0.1288688801350591,0.08626414535109565,0.10795286554715604,3
special,3,dAdT,0.14181204276871132,0.0799736626515163,0.08732351733429178,4
special,3,shotType_snap,0.031513787281935844,0.030891672825917565,0.050959792243869005,5
special,3,secondsElapsedInPeriod,0.04895891952729319,0.02227993784200105,0.03730569423932141,6
special,3,shotType_slap,0.031513787281935844,0.020431872646192492,0.052667200867041415,7
special,3,skaterCountAgainst,0.019696117051209903,0.02031340355244366,0.02307345371555791,8
special,3,isRebound,0.011254924029262802,0.0195494293601334,0.016632314341193763,9
special,3,secondsElapsedInGame,0.038266741699493526,0.019136726794387486,0.0225330974112503,10
special,3,shotType_wrist,0.023072594259988744,0.015535122533756622,0.031130468636814842,11
special,3,corsiAgainst,0.030388294879009566,0.011639062695752454,0.03930652804319161,12
special,3,fenwickFor,0.027011817670230726,0.011523624676765879,0.016315004153797417,13
special,3,corsiFor,0.026449071468767585,0.010803514549038941,0.027882756896566236,14
special,3,SOGFor,0.026449071468767585,0.010736468267871599,0.02663299126959354,15
special,3,shotType_tip.in,0.011254924029262802,0.009605811051292159,0.019084590441305383,16
special,3,SOGAgainst,0.024760832864378166,0.009071323680403691,0.028198925438843905,17
special,3,skaterCountFor,0.011254924029262802,0.008098423924403525,0.00568890716714956,18
special,3,goalsFor,0.008441193021947102,0.0030611292134841866,0.010650183460132051,19
special,3,fenwickAgainst,0.007315700619020821,0.0023277617222867714,0.005269475704627844,20
special,3,isEmptyNetFor,0.0016882386043894203,0.001968348337141224,9.193153281123887e-4,21
special,3,goalsAgainst,0.005627462014631401,0.0018367025405926088,0.009329232902230228,22
special,3,period,0.0011254924029262803,0.0017957211332139207,0.001793412555445898,23
special,3,isRush,0.0028137310073157004,8.419057207533096e-4,0.006617087033830482,24
special,3,shotType_poke,0.0016882386043894203,6.987328539451608e-4,0.003664098815787188,25
special,3,isPlayoff,0.0016882386043894203,5.350472508379959e-4,0.003981073225207452,26
special,3,shotType_wrap.around,0.0016882386043894203,4.929107544429598e-4,0.003980849373223399,27
special,3,shotType_deflected,0.0016882386043894203,4.665982081537272e-4,0.003980177817271237,28
special,4,distance,0.1838961038961039,0.42382658064713513,0.20819222278362662,1
special,4,angle,0.11220779220779221,0.07801727563017485,0.09667067107331319,2
special,4,dDdT,0.10545454545454545,0.07683269452286542,0.09231322892775852,3
special,4,goalieSide_neutral,0.01038961038961039,0.056272472028859565,0.016538418483884237,4
special,4,dAdT,0.08571428571428572,0.045757360780117336,0.06408308122937709,5
special,4,shotType_snap,0.028051948051948054,0.03483313397126744,0.03915559118504857,6
special,4,skaterCountAgainst,0.023376623376623377,0.026036743606520692,0.018665647064474232,7
special,4,secondsElapsedInPeriod,0.052987012987012985,0.024542491677865888,0.03366709386074161,8
special,4,shooterSide_onwing,0.011948051948051949,0.023731991270669443,0.015144542339501245,9
special,4,shooterPositionCode_D,0.014025974025974027,0.020399188296671457,0.017563868095674263,10
special,4,shotType_slap,0.02857142857142857,0.017972327949875456,0.04241716045091856,11
special,4,isRebound,0.011948051948051949,0.014450376518020745,0.012019634499915006,12
special,4,secondsElapsedInGame,0.027012987012987013,0.013827514674537179,0.015321216541711813,13
special,4,goalieWeight,0.028051948051948054,0.012706826345260562,0.02122523265884231,14
special,4,shotType_wrist,0.016623376623376623,0.012037855001302993,0.01872105087395647,15
special,4,corsiFor,0.02909090909090909,0.0119687131343832,0.021391483200461973,16
special,4,SOGAgainst,0.024415584415584415,0.010127649541681006,0.02386496114458286,17
special,4,skaterCountFor,0.015584415584415584,0.009613203532338311,0.004483269222931552,18
special,4,corsiAgainst,0.02181818181818182,0.008583573137618053,0.03098154429289133,19
special,4,SOGFor,0.022337662337662337,0.008436247633434688,0.022218765921505963,20
special,4,shooterAge,0.02025974025974026,0.00785931157926751,0.024118199382841068,21
special,4,shooterWeight,0.0187012987012987,0.00722493996690401,0.019342324513078154,22
special,4,goalieSide_glove,0.00935064935064935,0.007173381821942624,0.01836183549359299,23
special,4,shooterSide_offwing,0.005194805194805195,0.006300792746846562,0.007320480118891529,24
special,4,shotType_tip.in,0.007792207792207792,0.0061146031996157065,0.011439077673833217,25
special,4,goalieAge,0.012987012987012988,0.005383242174596974,0.017421046344651043,26
special,4,fenwickFor,0.012467532467532468,0.00529549122838589,0.00853957904995198,27
special,4,goalieHeight,0.00935064935064935,0.0036952401806340392,0.013548451090971999,28
special,4,goalsFor,0.00935064935064935,0.0035283631340759813,0.009997444345279513,29
special,4,fenwickAgainst,0.006233766233766234,0.0028831562823257817,0.004607570886563429,30
special,4,period,0.0025974025974025974,0.0023881661861764754,9.672296538554598e-4,31
special,4,shooterHeight,0.005714285714285714,0.0020168844990729757,0.006658215874519309,32
special,4,isEmptyNetFor,0.0025974025974025974,0.0014952380967741743,9.603457354164384e-4,33
special,4,goalsAgainst,0.0036363636363636364,0.0013752833049771149,0.004874889867083269,34
special,4,shotType_poke,0.0036363636363636364,0.001297762274810479,0.007738560824543234,35
special,4,shotType_deflected,0.003116883116883117,0.0012576098785558314,0.00490048943877838,36
special,4,shooterPositionCode_L,0.0036363636363636364,0.0012528055591160177,0.0070968701091421805,37
special,4,isRush,0.0036363636363636364,0.0012461854727833285,0.007046668351662158,38
special,4,shotType_wrap.around,0.0025974025974025974,0.0010834272313165476,0.004017626898973881,39
special,4,isPlayoff,0.003116883116883117,9.807271783433846e-4,0.006373452418864221,40
special,4,shooterPositionCode_R,5.194805194805195e-4,1.731681028791878e-4,3.095807638912194e-5,41
empty,1,distance,0.5455053042992741,0.6714380061909639,0.5960133438119996,1
empty,1,angle,0.3785594639865997,0.28551904174752996,0.2892130191931793,2
empty,1,shotType_wrist,0.04383026242322725,0.024541579018413952,0.06216487045474114,3
empty,1,shotType_snap,0.03112786152987158,0.01815214174257676,0.04989933519091507,4
empty,1,skaterCountAgainst,5.583472920156337e-4,2.2333883261373098e-4,0.0015053007029133256,5
empty,1,shotType_slap,4.187604690117253e-4,1.258924679016265e-4,0.0012041306462515868,6
empty,2,distance,0.38619119878603947,0.5770071542194118,0.39290320804524687,1
empty,2,angle,0.24279210925644917,0.17222619922661625,0.2307201711338125,2
empty,2,dAdT,0.17830045523520485,0.11772570957719387,0.16697170439448056,3
empty,2,dDdT,0.10166919575113809,0.09363225369021082,0.0899528219643478,4
empty,2,shotType_wrist,0.04552352048558422,0.020448099629192702,0.05719737793307795,5
empty,2,shotType_snap,0.028831562974203338,0.011865584021224554,0.039412573808084196,6
empty,2,isRebound,0.006828528072837633,0.002992705049402611,0.00896759938537022,7
empty,2,skaterCountAgainst,0.004552352048558422,0.0016799400446429903,0.00639100772569648,8
empty,2,shotType_poke,0.002276176024279211,0.001134202012496302,0.0032317005402991376,9
empty,2,shotType_tip.in,0.002276176024279211,9.815789017507198e-4,0.003191425363980533,10
empty,2,skaterCountFor,7.587253414264037e-4,3.0657362785732503e-4,0.0010604097056037556,11
empty,3,distance,0.41293103448275864,0.601012717373101,0.4582907064802358,1
empty,3,angle,0.18663793103448276,0.16579347186554955,0.15500979048261196,2
empty,3,dAdT,0.1853448275862069,0.10809975687053734,0.15584978243960945,3
empty,3,dDdT,0.06379310344827586,0.056420178717108915,0.06443342595508005,4
empty,3,secondsElapsedInPeriod,0.039224137931034485,0.017347145554123915,0.036913706286935175,5
empty,3,corsiFor,0.027586206896551724,0.013535121715189344,0.029236102055665635,6
empty,3,shotType_wrist,0.02586206896551724,0.012082998450879895,0.03303355833244104,7
empty,3,secondsElapsedInGame,0.016810344827586206,0.007632564014175475,0.01400775817560956,8
empty,3,isRebound,0.008189655172413794,0.0036037613916019336,0.010733662474481313,9
empty,3,SOGAgainst,0.008620689655172414,0.0034143379810760966,0.011513225897761282,10
empty,3,shotType_snap,0.008189655172413794,0.0034114912404513103,0.011223098259269508,11
empty,3,fenwickFor,0.00603448275862069,0.0025973770444725087,0.007001582096757037,12
empty,3,corsiAgainst,0.0047413793103448275,0.0022646045144575962,0.005463658244483953,13
empty,3,fenwickAgainst,0.003879310344827586,0.0019248151892242496,0.00416709514384288,14
empty,3,SOGFor,8.620689655172414e-4,3.154470669279009e-4,0.0012364879501616552,15
empty,3,goalsFor,4.310344827586207e-4,1.9411630604838342e-4,6.343229124150246e-4,16
empty,3,shotType_slap,4.310344827586207e-4,1.8546562874744536e-4,6.258417147002834e-4,17
empty,3,isHome,4.310344827586207e-4,1.6462907632714823e-4,6.261950979383975e-4,18
empty,4,distance,0.37494798168955473,0.5737049797551642,0.43693459509601673,1
empty,4,angle,0.18102372034956304,0.1639979047571431,0.1447786146454927,2
empty,4,dAdT,0.17103620474406991,0.09981964067986626,0.14789275478699102,3
empty,4,dDdT,0.06325426550145652,0.05492661009833693,0.06507261827294503,4
empty,4,shooterSide_onwing,0.046192259675405745,0.03327358425374345,0.022149265510127792,5
empty,4,secondsElapsedInPeriod,0.033707865168539325,0.01489409157251778,0.03286859484680244,6
empty,4,corsiFor,0.025384935497295046,0.012497914573032582,0.02545170088747975,7
empty,4,shotType_wrist,0.02372034956304619,0.011152044424198504,0.031407922245143785,8
empty,4,secondsElapsedInGame,0.01914273824386184,0.008729147321015467,0.01695383997674,9
empty,4,SOGAgainst,0.010819808572617561,0.004896771259374327,0.011906212358259376,10
empty,4,isRebound,0.007906783187682065,0.0036164985189672083,0.010574646600301826,11
empty,4,corsiAgainst,0.0070744902205576365,0.0032406385426415572,0.008202265080925416,12
empty,4,shotType_snap,0.00749063670411985,0.0030452110467383744,0.010713098979605965,13
empty,4,shooterWeight,0.006242197253433208,0.002584525460482351,0.008060005261190413,14
empty,4,fenwickFor,0.005409904286308781,0.0025025237029892575,0.006379539507386434,15
empty,4,shooterAge,0.004577611319184353,0.0019144220819003518,0.005716006479571351,16
empty,4,fenwickAgainst,0.003745318352059925,0.0017468173939141033,0.004949326429174686,17
empty,4,SOGFor,0.0033291718684977114,0.0013653950894903565,0.0038043252523294615,18
empty,4,shooterHeight,0.002913025384935497,0.0012330695898112754,0.004178146676450635,19
empty,4,shooterPositionCode_D,8.322929671244278e-4,3.601295372349808e-4,4.4581666135932546e-4,20
empty,4,isHome,8.322929671244278e-4,3.0788142805180036e-4,9.393993935785786e-4,21
empty,4,goalsFor,4.161464835622139e-4,1.901989133858024e-4,6.213050521273209e-4,22
shootout,1,distance,0.5295278179665921,0.5308636028691874,0.5154663256253942,1
shootout,1,angle,0.4331185058529528,0.4315381510212887,0.4050938425748957,2
shootout,1,shotType_snap,0.022228067867946864,0.027888017920214572,0.038800114187095135,3
shootout,1,shotType_poke,0.006970932526634223,0.0058688945685897624,0.020029737967604648,4
shootout,1,shotType_wrist,0.006313297382612127,0.0032476116842978684,0.015243558421658882,5
shootout,1,shotType_slap,0.0018413784032618704,5.937219364217093e-4,0.0053664212233514004,6
shootout,3,distance,0.1512353381582231,0.1642640121830469,0.14357741710603517,1
shootout,3,corsiFor,0.15348140753681058,0.1493251392358945,0.1418752261580827,2
shootout,3,SOGFor,0.1275268280509109,0.13316895791205832,0.11824847847997236,3
shootout,3,fenwickFor,0.12128774644372349,0.11498599197782078,0.11392898687312046,4
shootout,3,angle,0.08859495882206139,0.10314152177526488,0.10190734316128623,5
shootout,3,corsiAgainst,0.10781133017219865,0.09824861584687496,0.1160783830693715,6
shootout,3,fenwickAgainst,0.08135762415772398,0.08046166735874358,0.08680918288701397,7
shootout,3,SOGAgainst,0.08410282006488645,0.0764899567957785,0.08803401417563973,8
shootout,3,goalsFor,0.03618667332168705,0.036751803812578636,0.030405868150604417,9
shootout,3,goalsAgainst,0.015722485650112302,0.013342113512246513,0.019432217994925883,10
shootout,3,secondsElapsedInPeriod,0.014973795857249813,0.010895662133173343,0.01932258882262869,11
shootout,3,shotType_snap,0.005989518342899925,0.008071480662045305,0.008099525911327633,12
shootout,3,secondsElapsedInGame,0.006239081607187422,0.006418592787102589,0.0063636029103606466,13
shootout,3,period,0.004492138757174944,0.0038659490919015424,0.004353990297434933,14
