partition,version,feature,split,gain,cover,rank
empty,4,distance,0.37494798168955473,0.5737049797551642,0.43693459509601673,1
empty,4,angle,0.18102372034956304,0.1639979047571431,0.1447786146454927,2
empty,4,dAdT,0.17103620474406991,0.09981964067986626,0.14789275478699102,3
empty,4,dDdT,0.06325426550145652,0.05492661009833693,0.06507261827294503,4
empty,4,shooterSide_onwing,0.046192259675405745,0.03327358425374345,0.022149265510127792,5
empty,4,secondsElapsedInPeriod,0.033707865168539325,0.01489409157251778,0.03286859484680244,6
empty,4,corsiFor,0.025384935497295046,0.012497914573032582,0.02545170088747975,7
empty,4,shotType_wrist,0.02372034956304619,0.011152044424198504,0.031407922245143785,8
empty,4,secondsElapsedInGame,0.01914273824386184,0.008729147321015467,0.01695383997674,9
empty,4,SOGAgainst,0.010819808572617561,0.004896771259374327,0.011906212358259376,10
empty,4,isRebound,0.007906783187682065,0.0036164985189672083,0.010574646600301826,11
empty,4,corsiAgainst,0.0070744902205576365,0.0032406385426415572,0.008202265080925416,12
empty,4,shotType_snap,0.00749063670411985,0.0030452110467383744,0.010713098979605965,13
empty,4,shooterWeight,0.006242197253433208,0.002584525460482351,0.008060005261190413,14
empty,4,fenwickFor,0.005409904286308781,0.0025025237029892575,0.006379539507386434,15
empty,4,shooterAge,0.004577611319184353,0.0019144220819003518,0.005716006479571351,16
empty,4,fenwickAgainst,0.003745318352059925,0.0017468173939141033,0.004949326429174686,17
empty,4,SOGFor,0.0033291718684977114,0.0013653950894903565,0.0038043252523294615,18
empty,4,shooterHeight,0.002913025384935497,0.0012330695898112754,0.004178146676450635,19
empty,4,shooterPositionCode_D,8.322929671244278e-4,3.601295372349808e-4,4.4581666135932546e-4,20
shootout,4,distance,0.10112023259791346,0.10318953157365952,0.09199499733802688,1
shootout,4,corsiFor,0.08940482298614674,0.08883006894337031,0.08784342325913379,2
shootout,4,shooterWeight,0.08594150846587993,0.08840040080401522,0.08387389524735847,3
shootout,4,angle,0.0849153412006157,0.08712962482680385,0.08501866760753841,4
shootout,4,fenwickAgainst,0.07516675218060544,0.07665173837780845,0.08568523108472645,5
shootout,4,fenwickFor,0.07666324610911579,0.06967173111856888,0.07737859070659334,6
shootout,4,corsiAgainst,0.07093381221139046,0.06533773010225508,0.07819329191785307,7
shootout,4,shooterAge,0.0667863861809475,0.06523443343308066,0.0564969154682155,8
shootout,4,SOGFor,0.06618778860954336,0.0650872189345329,0.07348645480379692,9
shootout,4,SOGAgainst,0.07050624251753036,0.06385974314761708,0.07139224911832702,10
shootout,4,goalieWeight,0.04754574995724303,0.05035790033026699,0.0405148253765909,11
shootout,4,goalieAge,0.04643406875320677,0.044018986359103895,0.04304995204392898,12
shootout,4,shooterHeight,0.02744997434581837,0.03262209807412483,0.01434266161714135,13
shootout,4,goalsAgainst,0.02180605438686506,0.023950075477052676,0.014582836255195242,14
shootout,4,goalieHeight,0.02090815802975885,0.02332401957881472,0.015071409146958715,15
shootout,4,goalsFor,0.018471010774756286,0.01954725007114455,0.013407760434585417,16
shootout,4,shooterPositionCode_L,0.005686676928339319,0.006980728879357578,0.010665691548623986,17
shootout,4,secondsElapsedInPeriod,0.006712844193603558,0.005569320110240215,0.014593312916236053,18
shootout,4,shooterPositionCode_D,0.0038481272447408927,0.005555570373107806,0.012022475479543812,19
shootout,4,secondsElapsedInGame,0.0038481272447408927,0.0030692970753567095,0.007835528588104325,20
special,4,distance,0.1838961038961039,0.42382658064713513,0.20819222278362662,1
special,4,angle,0.11220779220779221,0.07801727563017485,0.09667067107331319,2
special,4,dDdT,0.10545454545454545,0.07683269452286542,0.09231322892775852,3
special,4,goalieSide_neutral,0.01038961038961039,0.056272472028859565,0.016538418483884237,4
special,4,dAdT,0.08571428571428572,0.045757360780117336,0.06408308122937709,5
special,4,shotType_snap,0.028051948051948054,0.03483313397126744,0.03915559118504857,6
special,4,skaterCountAgainst,0.023376623376623377,0.026036743606520692,0.018665647064474232,7
special,4,secondsElapsedInPeriod,0.052987012987012985,0.024542491677865888,0.03366709386074161,8
special,4,shooterSide_onwing,0.011948051948051949,0.023731991270669443,0.015144542339501245,9
special,4,shooterPositionCode_D,0.014025974025974027,0.020399188296671457,0.017563868095674263,10
special,4,shotType_slap,0.02857142857142857,0.017972327949875456,0.04241716045091856,11
special,4,isRebound,0.011948051948051949,0.014450376518020745,0.012019634499915006,12
special,4,secondsElapsedInGame,0.027012987012987013,0.013827514674537179,0.015321216541711813,13
special,4,goalieWeight,0.028051948051948054,0.012706826345260562,0.02122523265884231,14
special,4,shotType_wrist,0.016623376623376623,0.012037855001302993,0.01872105087395647,15
special,4,corsiFor,0.02909090909090909,0.0119687131343832,0.021391483200461973,16
special,4,SOGAgainst,0.024415584415584415,0.010127649541681006,0.02386496114458286,17
special,4,skaterCountFor,0.015584415584415584,0.009613203532338311,0.004483269222931552,18
special,4,corsiAgainst,0.02181818181818182,0.008583573137618053,0.03098154429289133,19
special,4,SOGFor,0.022337662337662337,0.008436247633434688,0.022218765921505963,20
standard,4,distance,0.19449617214980344,0.5759763607406392,0.22188983760341696,1
standard,4,angle,0.13097454996896338,0.12565744239140672,0.10100209827325865,2
standard,4,dAdT,0.14214773432650527,0.04661349394289061,0.0795730936452399,3
standard,4,goalieSide_neutral,0.0035174839644113386,0.04581080130963214,0.006427958959770843,4
standard,4,dDdT,0.14483757500517278,0.04467490962381852,0.09501824884012589,5
standard,4,shotType_snap,0.03662321539416512,0.028415617342749756,0.044094515093253774,6
standard,4,shotType_tip.in,0.012828470929029587,0.02340566986441613,0.009273010259221535,7
standard,4,shotType_slap,0.032898820608317815,0.013188426187484436,0.045314058595197985,8
