situationCode,bucket,shots,goals,goalRate,shotShareWithinBucket
0651,Empty-Net Context,1080,629,0.5824074074074074,0.47914818101153506
1560,Empty-Net Context,987,605,0.6129685916919959,0.43788819875776397
1460,Empty-Net Context,61,29,0.47540983606557374,0.027062999112688554
0641,Empty-Net Context,50,26,0.52,0.022182786157941437
0551,Empty-Net Context,25,18,0.72,0.011091393078970719
0541,Empty-Net Context,23,15,0.6521739130434783,0.01020408163265306
1450,Empty-Net Context,13,6,0.46153846153846156,0.005767524401064774
1550,Empty-Net Context,10,4,0.4,0.0044365572315882874
0451,Empty-Net Context,2,0,0,8.873114463176575e-4
0441,Empty-Net Context,1,0,0,4.4365572315882877e-4
1340,Empty-Net Context,1,1,1,4.4365572315882877e-4
1360,Empty-Net Context,1,0,0,4.4365572315882877e-4
1010,Penalty Shot,1031,323,0.31328806983511154,0.5157578789394698
0101,Penalty Shot,968,293,0.30268595041322316,0.4842421210605303
1451,Special Teams,26896,2479,0.09216983938132065,0.3986659749499741
1541,Special Teams,24081,2190,0.09094306714837423,0.35694063588527386
1441,Special Teams,3747,294,0.07846277021617294,0.055539909582746606
1331,Special Teams,3379,449,0.13287955016277006,0.0500852293781961
1560,Special Teams,3082,241,0.0781959766385464,0.0456829467131105
0651,Special Teams,3021,232,0.07679576299238662,0.044778774179204034
1351,Special Teams,798,109,0.13659147869674185,0.011828355443563329
1531,Special Teams,605,90,0.1487603305785124,0.008967612836285482
1341,Special Teams,526,62,0.11787072243346007,0.007796635292373824
1460,Special Teams,426,37,0.08685446009389672,0.006314385236789446
0641,Special Teams,374,35,0.09358288770053476,0.00554361520788557
1431,Special Teams,341,38,0.11143695014662756,0.005054472689542726
0541,Special Teams,63,3,0.047619047619047616,9.338175350181576e-4
1450,Special Teams,35,4,0.11428571428571428,5.18787519454532e-4
0551,Special Teams,32,3,0.09375,4.743200177870007e-4
1550,Special Teams,21,2,0.09523809523809523,3.112725116727192e-4
1340,Special Teams,14,1,0.07142857142857142,2.0751500778181279e-4
0431,Special Teams,7,2,0.2857142857142857,1.0375750389090639e-4
0631,Special Teams,4,1,0.25,5.9290002223375086e-5
1350,Special Teams,4,0,0,5.9290002223375086e-5
1360,Special Teams,4,0,0,5.9290002223375086e-5
0531,Special Teams,3,0,0,4.4467501667531314e-5
0451,Special Teams,2,0,0,2.9645001111687543e-5
