season,bucket,shots,goals,goalRate,shotShare
20212022,Standard 5v5,95540,5842,0.06114716349173121,0.7808745402533714
20212022,Special Teams,25229,2341,0.09279004320424908,0.20620351450756028
20212022,Empty-Net Context,798,520,0.6516290726817042,0.006522272170004086
20212022,Shootout / Penalty Shot,783,233,0.29757343550446996,0.0063996730690641605
20232024,Standard 5v5,95428,5643,0.05913358762627321,0.7749805093555093
20232024,Special Teams,26211,2445,0.09328144672084239,0.21286220114345114
20232024,Empty-Net Context,843,485,0.575326215895611,0.006846088877338877
20232024,Shootout / Penalty Shot,654,199,0.30428134556574926,0.0053112006237006236
20252026,Standard 5v5,57785,3523,0.0609673790776153,0.7706207908248316
20252026,Special Teams,16025,1486,0.09273010920436818,0.21370940854837633
20252026,Empty-Net Context,613,328,0.5350734094616639,0.008174968326998733
20252026,Shootout / Penalty Shot,562,184,0.3274021352313167,0.007494832299793292
