playerId,fullName,menuName,nationality,birthDate,height,weight,handCode,positionCode,number,teamId
8478421,A.J. Greer,A.J. Greer,CAN,1996-12-14,75,209,L,L,10,13
8477180,Aaron Dell,Aaron Dell,CAN,1989-05-04,72,213,L,G,30,26
8477932,Aaron Ekblad,Aaron Ekblad,CAN,1996-02-07,76,220,R,D,5,13
8471451,Aaron Gagnon,Aaron Gagnon,CAN,1986-04-24,71,186,R,C,21,52
8469534,Aaron Johnson,Aaron Johnson,CAN,1983-04-30,73,204,L,D,72,9
8474604,Aaron Ness,Aaron Ness,USA,1990-05-18,70,184,L,D,42,53
8474030,Aaron Palushaj,Aaron Palushaj,USA,1989-09-07,72,187,R,R,37,4
8470310,Aaron Rome,Aaron Rome,CAN,1983-09-27,73,220,L,D,27,25
8475619,Aaron Volpatti,Aaron Volpatti,CAN,1985-05-30,72,215,L,L,17,15
8482691,Aatu Raty,Aatu Raty,FIN,2002-11-14,74,204,L,C,54,23
8475332,Adam Almquist,Adam Almquist,SWE,1991-02-27,71,174,L,D,53,17
8481550,Adam Beckman,Adam Beckman,CAN,2001-05-10,74,192,L,L,68,2
8480871,Adam Boqvist,Adam Boqvist,SWE,2000-08-15,72,195,R,D,34,2
8478996,Adam Brooks,Adam Brooks,CAN,1996-05-06,72,179,L,C,22,4
8470063,Adam Burish,Adam Burish,USA,1983-01-06,73,195,R,R,37,28
8476431,Adam Clendening,Adam Clendening,USA,1992-10-26,72,194,R,D,6,4
8471490,Adam Cracknell,Adam Cracknell,CAN,1985-07-15,75,209,R,R,27,22
8481726,Adam Edstrom,Adam Edstrom,SWE,2000-10-12,79,232,L,C,84,3
8483686,Adam Engstrom,Adam Engstrom,SWE,2003-11-17,74,193,L,D,42,8
8477454,Adam Erne,Adam Erne,USA,1995-04-20,73,209,L,L,73,25
8484166,Adam Fantilli,Adam Fantilli,CAN,2004-10-12,74,205,L,C,19,29
8479323,Adam Fox,Adam Fox,USA,1998-02-17,71,185,R,D,23,3
8478874,Adam Gaudette,Adam Gaudette,USA,1996-10-03,73,190,R,R,81,28
8480874,Adam Ginning,Adam Ginning,SWE,2000-01-13,75,196,L,D,13,4
8467925,Adam Hall,Adam Hall,USA,1980-08-14,74,212,R,R,18,4
8474641,Adam Henrique,Adam Henrique,CAN,1990-02-06,72,195,L,C,19,22
8478903,Adam Huska,Adam Huska,SVK,1997-05-12,76,214,L,G,32,3
