gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2016020014,2016-10-14,43,0,12,28,0,8,17,0,7,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,2
2016020043,2016-10-18,59,1,10,43,1,8,29,1,7,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,0,2,2,0,2
2016020064,2016-10-21,52,2,9,47,2,7,36,1,5,3,0,1,2,0,1,1,0,1,0,0,0,0,0,0,2,0,0,3,0,1,3,0,1
2016020097,2016-10-26,22,7,7,16,7,5,9,3,5,1,1,2,0,1,2,0,1,2,0,0,0,0,0,0,1,2,0,0,1,1,0,1,1
2016020105,2016-10-27,62,2,23,44,1,19,34,1,10,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,3,0,1,5,0,2,4,0,3
2016020122,2016-10-29,49,0,9,37,0,7,23,0,3,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,6,0,0,6,0,1,6,0,1
2016020140,2016-11-01,39,4,10,26,3,7,19,3,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,6,0,0,6,0,0
2016020155,2016-11-03,40,1,7,32,1,5,24,1,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2016020170,2016-11-05,50,2,7,34,2,3,20,2,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0,0
2016020190,2016-11-08,45,0,2,36,0,2,32,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2016020203,2016-11-10,50,0,5,36,0,1,24,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016020220,2016-11-12,36,0,19,25,0,15,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,2,0,2
2016020248,2016-11-17,46,1,11,34,0,6,26,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0
2016020267,2016-11-19,47,0,12,35,0,10,27,0,7,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,1,5,0,1
2016020279,2016-11-21,41,0,2,34,0,2,24,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2016020295,2016-11-23,42,1,7,33,1,5,31,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2016020307,2016-11-25,31,3,1,23,3,1,19,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0
2016020337,2016-11-29,57,2,4,41,2,4,35,2,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,3,0,1,3,0,1
2016020362,2016-12-03,33,0,5,25,0,4,18,0,4,4,0,1,4,0,1,2,0,1,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0
2016020387,2016-12-06,38,0,18,28,0,13,18,0,10,1,0,2,1,0,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,0,0,2
2016020402,2016-12-08,28,0,6,24,0,3,17,0,1,4,0,0,4,0,0,4,0,0,0,0,0,2,0,0,2,0,0,3,0,0,3,0,0
2016020418,2016-12-10,41,4,6,37,3,3,29,3,2,4,0,0,4,0,0,4,0,0,2,0,0,0,0,0,2,0,0,3,0,0,4,0,0
2016020437,2016-12-13,45,0,1,36,0,1,25,0,1,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,5,0,1,2,0,0,2,0,0
2016020450,2016-12-15,35,0,4,27,0,2,16,0,1,2,0,1,2,0,1,1,0,1,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0
2016020476,2016-12-19,48,1,11,36,1,9,25,0,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1
2016020502,2016-12-22,50,1,6,38,1,4,21,1,4,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,1,1,0,1
2016020522,2016-12-27,53,0,15,42,0,12,30,0,9,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0
2016020537,2016-12-29,30,1,12,22,1,10,13,1,9,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2016020570,2017-01-03,67,0,9,48,0,7,37,0,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0
2016020580,2017-01-05,58,2,9,37,1,7,22,1,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,4,0,1,4,0,1
2016020607,2017-01-08,53,0,2,35,0,1,28,0,1,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,1,3,0,0,3,0,0
2016020616,2017-01-10,49,0,6,38,0,2,29,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0,0
2016020641,2017-01-14,48,1,4,35,0,4,26,0,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
2016020670,2017-01-17,47,0,2,33,0,2,25,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2016020689,2017-01-20,42,4,10,31,4,8,23,4,5,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,2,1,0,2,1,0
2016020707,2017-01-22,43,1,2,32,1,1,22,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
2016020735,2017-01-26,49,1,3,39,1,2,30,1,2,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,3,0,0,3,0,0
2016020743,2017-01-31,51,0,9,36,0,8,32,0,6,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,1,0,0,2,0,1,2,0,1
2016020762,2017-02-02,45,2,7,38,2,7,24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,5,0,1
