gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2015020020,2015-10-10,27,2,7,20,2,4,17,2,3,2,0,1,2,0,1,1,0,1,2,0,0,1,0,0,1,0,0
2015020035,2015-10-12,53,0,13,40,0,9,26,0,5,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,3,0,1
2015020047,2015-10-14,46,3,13,31,3,11,20,2,8,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,5,0,3
2015020089,2015-10-21,15,0,5,11,0,2,10,0,2,1,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
2015020145,2015-10-30,36,0,23,30,0,18,22,0,14,2,0,1,2,0,1,2,0,1,0,0,0,2,0,2,2,0,2
2015020179,2015-11-03,62,2,22,43,2,15,33,2,13,2,0,1,2,0,1,1,0,1,5,0,0,5,0,3,5,0,3
2015020190,2015-11-05,38,1,3,30,1,2,29,1,0,2,0,0,2,0,0,2,0,0,1,0,0,4,0,0,4,0,0
2015020205,2015-11-07,45,2,16,31,2,11,19,1,8,0,0,0,0,0,0,0,0,0,6,0,2,3,0,1,3,0,1
2015020218,2015-11-10,50,0,7,43,0,4,36,0,4,3,0,1,3,0,1,3,0,1,3,0,0,4,0,2,4,0,2
2015020310,2015-11-23,51,0,13,37,0,6,29,0,4,2,0,0,2,0,0,2,0,0,4,0,0,5,0,2,5,0,2
2015020331,2015-11-27,54,3,3,42,3,1,31,3,1,2,0,0,2,0,0,2,0,0,7,0,0,5,1,0,5,1,0
2015020382,2015-12-04,27,0,5,19,0,5,14,0,4,2,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
2015020408,2015-12-08,32,0,0,22,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0
2015020424,2015-12-10,51,0,4,36,0,4,33,0,4,1,0,1,1,0,1,0,0,1,3,0,0,1,0,1,1,0,1
2015020431,2015-12-11,64,1,19,48,1,11,34,0,9,2,0,0,2,0,0,2,0,0,3,0,0,7,0,1,7,0,1
2015020456,2015-12-15,45,0,17,31,0,15,22,0,10,2,0,1,2,0,1,2,0,1,2,0,0,3,0,3,3,0,3
2015020569,2016-01-02,42,1,12,33,1,8,24,1,7,1,0,1,1,0,1,0,0,1,6,0,0,1,0,1,1,0,1
2015020591,2016-01-05,51,1,13,31,1,8,18,1,5,3,0,0,3,0,0,3,0,0,4,0,0,10,0,0,10,0,0
2015020675,2016-01-17,49,0,20,37,0,16,22,0,8,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1
2015020727,2016-01-25,44,1,18,31,1,12,22,1,8,1,0,2,1,0,2,1,0,2,2,0,0,1,0,2,1,0,2
2015020741,2016-01-27,50,4,8,33,4,4,27,1,2,3,0,0,3,0,0,2,0,0,6,0,0,0,0,0,0,0,0
2015020825,2016-02-13,48,0,7,35,0,4,20,0,4,0,0,2,0,0,2,0,0,2,3,0,0,3,0,1,3,0,1
2015020847,2016-02-16,22,1,21,17,1,19,11,1,12,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2015020872,2016-02-19,50,3,9,30,3,7,24,2,5,1,0,1,1,0,1,1,0,1,1,0,0,6,0,1,6,0,1
2015020875,2016-02-20,19,0,0,13,0,0,10,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2015020894,2016-02-23,26,1,10,19,1,7,15,0,3,3,0,0,2,0,0,2,0,0,2,0,0,2,0,1,2,0,1
2015020906,2016-02-25,42,0,8,28,0,5,21,0,5,1,0,1,1,0,1,1,0,1,2,0,1,2,0,0,2,0,0
2015020921,2016-02-27,67,0,6,35,0,6,27,0,4,2,0,0,2,0,0,2,0,0,3,0,0,4,0,1,4,0,1
2015020938,2016-02-29,60,0,11,40,0,10,26,0,6,2,0,1,2,0,1,2,0,1,5,0,1,8,0,1,8,0,1
2015020956,2016-03-03,44,2,3,32,2,3,26,2,3,3,1,0,2,1,0,2,0,0,4,0,0,8,0,0,8,0,0
2015021048,2016-03-16,52,2,6,31,2,4,22,2,2,1,1,0,1,1,0,0,1,0,1,0,0,5,0,1,5,0,1
2015020716,2016-04-10,27,0,6,18,0,4,13,0,4,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2015030134,2016-04-20,73,0,3,45,0,2,30,0,2,1,0,0,1,0,0,1,0,0,7,0,0,5,0,0,5,0,0
2015030135,2016-04-22,66,6,10,50,5,8,35,5,4,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,7,0,0
2015030136,2016-04-24,46,0,18,29,0,14,20,0,9,1,0,0,1,0,0,1,0,0,4,0,2,2,0,0,2,0,0
