playerId,gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
8455710,2014020383,2014-12-04,49,0,3,31,0,1,23,0,1,4,0,0,4,0,0,3,0,0,6,0,0,4,0,0,4,0,0
8455710,2014020397,2014-12-06,25,0,3,16,0,2,13,0,2,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1
8455710,2014020408,2014-12-08,42,1,7,35,1,5,28,1,5,2,0,0,2,0,0,2,0,0,4,1,2,1,0,1,1,0,1
8455710,2014020472,2014-12-18,54,0,17,45,0,12,30,0,7,3,0,3,3,0,3,1,0,3,7,0,0,4,0,1,4,0,1
8455710,2014020513,2014-12-23,12,2,0,9,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
8455710,2014020535,2014-12-29,31,0,2,21,0,1,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
8455710,2014020565,2015-01-02,41,4,14,30,4,8,22,3,8,3,0,1,3,0,1,3,0,1,2,0,0,2,0,2,2,0,2
8460705,2014020044,2014-10-14,33,0,10,27,0,8,18,0,7,1,0,1,1,0,1,1,0,1,3,0,0,4,0,1,4,0,1
8460705,2014020088,2014-10-21,36,0,6,28,0,6,17,0,5,0,0,1,0,0,1,0,0,1,2,0,0,3,0,0,3,0,0
8460705,2014020114,2014-10-25,16,0,0,12,0,0,8,0,0,4,0,0,4,0,0,2,0,0,2,0,0,2,0,0,2,0,0
8460705,2014020208,2014-11-08,49,1,13,32,0,10,24,0,8,1,0,3,1,0,3,1,0,3,3,0,0,2,0,0,2,0,0
8460705,2014020269,2014-11-18,38,2,21,30,2,13,26,1,9,3,1,1,3,0,1,2,0,1,2,1,1,2,0,3,2,0,3
8460705,2014020362,2014-12-02,40,0,5,30,0,4,20,0,2,1,0,0,1,0,0,1,0,0,1,0,0,4,0,0,4,0,0
8460705,2014020426,2014-12-11,35,0,15,30,0,11,22,0,8,1,0,0,1,0,0,1,0,0,5,0,0,2,0,0,1,0,1
8460705,2014020452,2014-12-15,30,0,6,25,0,5,17,0,4,2,0,1,2,0,1,1,0,1,2,0,0,0,0,1,0,0,1
8460705,2014020474,2014-12-19,16,0,8,13,0,7,13,0,5,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
8460705,2014020560,2015-01-02,37,1,3,22,1,2,15,1,2,2,0,0,2,0,0,2,0,0,1,0,0,4,0,0,4,0,0
8460705,2014020627,2015-01-12,22,0,1,15,0,1,12,0,1,3,0,1,3,0,1,3,0,1,1,0,0,1,0,0,1,0,0
8466141,2014020010,2014-10-09,42,0,15,31,0,13,21,0,11,0,0,3,0,0,3,0,0,2,2,0,1,1,0,3,1,0,3
8466141,2014020022,2014-10-11,13,0,5,10,0,5,9,0,5,3,0,2,2,0,2,2,0,2,1,0,1,2,0,1,2,0,1
8466141,2014020037,2014-10-13,33,1,8,27,1,5,18,0,5,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0
8466141,2014020056,2014-10-17,33,1,16,27,1,12,18,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2
8466141,2014020087,2014-10-21,35,0,18,31,0,13,22,0,11,1,0,2,1,0,2,0,0,2,2,0,0,3,0,0,3,0,0
8466141,2014020115,2014-10-25,50,1,26,36,0,20,24,0,17,0,0,2,0,0,2,0,0,2,0,0,2,2,0,1,2,0,1
8466141,2014020143,2014-10-30,34,2,14,27,2,13,21,2,10,0,0,1,0,0,1,0,0,1,5,0,0,1,1,1,1,1,1
8466141,2014020156,2014-11-01,29,1,25,23,1,19,22,0,15,1,0,0,1,0,0,1,0,0,2,0,0,1,0,2,1,0,2
8466141,2014020172,2014-11-04,52,0,0,40,0,0,25,0,0,2,0,0,2,0,0,1,0,0,4,0,0,2,0,0,2,0,0
8466141,2014020188,2014-11-06,50,1,2,37,1,1,29,1,0,4,0,0,4,0,0,3,0,0,2,0,0,3,0,0,3,0,0
8466141,2014020225,2014-11-11,49,0,6,36,0,2,25,0,1,1,0,0,1,0,0,1,0,0,4,0,0,8,0,1,8,0,1
8466141,2014020246,2014-11-14,59,3,5,38,3,3,28,3,3,3,0,0,3,0,0,3,0,0,3,0,0,6,0,1,6,0,1
8466141,2014020277,2014-11-18,35,0,8,27,0,7,18,0,7,2,0,2,2,0,2,2,0,2,4,0,0,0,0,0,0,0,0
8466141,2014020290,2014-11-20,58,5,7,36,3,5,24,3,3,1,0,1,1,0,1,1,0,1,5,3,1,4,1,2,5,1,2
8466141,2014020302,2014-11-22,65,2,9,56,2,7,44,2,4,2,0,0,2,0,0,1,0,0,2,0,0,4,0,0,4,0,0
8466141,2014020315,2014-11-24,51,0,10,44,0,9,31,0,7,3,0,0,2,0,0,0,0,0,0,0,0,6,0,1,6,0,1
8466141,2014020327,2014-11-26,16,0,1,11,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8466141,2014020368,2014-12-02,53,1,9,40,1,8,34,1,6,2,0,1,1,0,1,1,0,1,2,0,0,5,0,0,5,0,0
8466141,2014020382,2014-12-04,30,1,4,23,1,3,16,1,3,3,0,0,3,0,0,3,0,0,4,0,0,5,0,0,5,0,0
8466141,2014020395,2014-12-06,41,0,3,33,0,3,25,0,3,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
8466141,2014020408,2014-12-08,31,1,17,24,1,14,19,1,7,3,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0
8466141,2014020433,2014-12-12,41,3,15,33,2,11,20,2,9,0,0,2,0,0,2,0,0,1,1,0,0,1,0,2,1,0,2
8466141,2014020457,2014-12-16,44,0,5,31,0,3,21,0,3,0,0,1,0,0,1,0,0,1,6,0,0,1,0,2,1,0,2
8466141,2014020467,2014-12-18,51,0,0,36,0,0,26,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0
8466141,2014020485,2014-12-20,31,1,20,25,1,17,21,1,12,3,0,0,3,0,0,3,0,0,0,0,0,1,0,3,1,0,3
8466141,2014020499,2014-12-22,43,0,10,31,0,9,22,0,5,2,0,1,1,0,1,1,0,1,6,0,0,4,0,0,4,0,0
8466141,2014020527,2014-12-28,35,1,8,29,0,5,19,0,3,3,0,1,3,0,1,3,0,1,2,0,0,0,0,1,0,0,1
8466141,2014020541,2014-12-30,39,2,11,30,2,11,23,1,10,1,0,0,1,0,0,1,0,0,4,0,0,3,0,3,3,0,3
8466141,2014020558,2015-01-02,46,0,5,35,0,3,27,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,1
8466141,2014020577,2015-01-04,41,0,10,28,0,8,16,0,5,2,0,1,2,0,1,1,0,1,6,0,0,1,0,1,1,0,1
8466141,2014020606,2015-01-08,45,4,11,37,3,6,28,2,3,1,0,0,1,0,0,1,0,0,4,0,0,2,0,1,2,0,1
