gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020007,2022-10-12,15.566666666666666,4.983333333333333,0.85,7,1,0,8,2,0,4,1,1,5,3,2,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,2,0,0,2,0,0,7,0,0,2,0,0,0,0,0,1,3,0,14,7,1,20,1,1,1,3,0,11,5,1,12,1,0,0,3,0,6,4,1,10,1,0,0,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,1,0,2,0,0,1,1,0,1,1,0,2,0,0
2022020022,2022-10-14,17.233333333333334,3.6,0.6666666666666666,2,1,0,7,4,0,5,1,0,9,2,0,3,0,0,9,0,0,2,1,0,11,1,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,2,0,0,1,1,0,14,7,0,23,1,3,0,0,0,8,6,0,19,1,3,0,0,0,6,6,0,16,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,0,5,0,0
2022020029,2022-10-15,13.5,3.816666666666667,0.9666666666666667,2,3,0,4,6,0,5,0,0,5,0,0,0,0,0,5,0,1,2,0,0,5,0,1,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,2,1,0,10,7,0,12,2,2,2,0,0,7,5,0,6,2,1,2,0,0,5,5,0,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,2,0,0,1,0,0,0,0,1,2,0,0,1,0
2022020042,2022-10-17,17.716666666666665,3.4166666666666665,1.6,9,1,0,10,2,0,4,1,0,7,2,0,2,0,0,7,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,3,1,0,2,0,0,0,0,0,7,0,1,24,4,2,15,1,2,7,0,1,18,3,2,11,1,1,7,0,1,15,2,2,10,1,1,1,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,2,1,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2022020060,2022-10-20,13,0.85,1.0833333333333333,4,0,0,7,0,0,4,0,0,9,1,1,1,0,0,3,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,10,2,1,10,2,0,1,0,1,9,2,1,5,2,0,1,0,1,8,1,1,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,1,1,0,0
2022020078,2022-10-22,15.933333333333334,2.9166666666666665,0,5,0,0,7,2,0,7,0,0,10,1,0,1,0,0,5,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,14,2,0,12,1,0,1,1,0,11,2,0,12,1,0,1,1,0,9,2,0,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2022020101,2022-10-25,15.85,3.45,1.15,1,1,1,4,3,1,2,1,0,7,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,3,1,0,1,0,0,5,2,1,0,0,0,0,0,0,2,0,0,10,1,0,13,0,3,1,0,0,6,0,0,6,0,2,1,0,0,5,0,0,6,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1
2022020114,2022-10-27,14.433333333333334,3.783333333333333,1.1333333333333333,3,0,0,4,2,0,6,1,0,7,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,13,8,2,13,4,0,2,3,0,10,7,1,10,4,0,1,3,0,7,4,0,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,2,1,0
2022020133,2022-10-29,13.2,4.116666666666666,0.4,7,2,0,9,3,0,7,0,0,7,1,0,0,0,0,4,0,0,1,0,0,8,1,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,2,2,0,0,3,1,0,10,7,0,10,0,0,2,1,0,8,7,0,8,0,0,1,0,0,6,5,0,5,0,0,1,0,0,2,1,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2022020151,2022-11-01,16,2.4833333333333334,1.85,5,2,2,5,2,2,8,0,0,8,1,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,18,5,0,7,0,7,1,2,0,17,5,0,5,0,6,0,1,0,12,4,0,4,0,5,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
