gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2018020002,2018-10-03,48.43333333333334,4,7.566666666666666,32,4,5,16,0,3,26,0,2,15,1,0,4,1,0,3,0,0,14,0,0,6,2,24,45,5,3,41,6,17,31,4,3,31,5,16,20,2,3,23,4,10,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,3,0,3,6,0,0,1,0,0,2,0,0,1,0,1,2,0,0,1,0,1
2018020005,2018-10-04,55.75,1.6,2.65,22,2,5,33,0,5,12,0,1,23,0,2,1,0,0,5,0,1,2,0,2,2,0,4,35,4,6,50,0,12,29,3,5,39,0,10,23,1,2,27,0,5,2,1,1,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
2018020032,2018-10-08,51.583333333333336,3.683333333333333,4.733333333333333,21,3,3,33,1,2,17,0,1,16,1,0,6,0,2,4,2,0,4,0,2,6,0,2,44,5,4,43,3,5,31,5,3,36,3,4,24,3,3,26,3,2,4,1,1,3,0,0,4,1,1,3,0,0,4,1,0,3,0,0,2,0,0,6,0,0,4,0,0,6,0,0,4,0,0,6,0,0
2018020045,2018-10-11,53.016666666666666,4.416666666666667,2.566666666666667,26,4,3,15,1,4,20,0,1,26,0,1,20,0,1,9,1,0,13,0,2,4,7,0,40,8,4,34,2,7,34,6,4,24,2,6,27,4,1,18,2,6,1,2,1,1,0,0,1,2,0,1,0,0,0,1,0,1,0,0,3,0,3,3,1,0,0,0,1,2,0,1,0,0,1,2,0,1
2018020061,2018-10-13,51.599999999999994,4.333333333333333,4.066666666666666,29,2,4,28,3,2,21,0,0,20,1,0,15,0,0,6,3,0,12,0,2,12,0,2,56,6,1,38,3,9,45,5,1,29,3,9,36,3,0,24,3,7,7,1,0,0,1,1,6,1,0,0,1,1,4,1,0,0,1,1,2,0,0,2,1,0,4,2,0,1,0,1,4,2,0,1,0,1
2018020088,2018-10-17,46.21666666666667,7.033333333333333,6.75,18,3,5,20,1,1,16,0,0,13,3,0,7,1,2,15,1,1,6,2,0,6,0,2,47,8,0,49,3,5,35,5,0,31,3,4,24,2,0,25,2,2,2,0,0,4,1,0,2,0,0,4,1,0,1,0,0,3,0,0,4,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0
2018020096,2018-10-18,51.583333333333336,6,3.033333333333333,20,4,1,22,1,4,29,0,0,35,0,0,8,1,0,14,0,1,6,2,2,6,0,2,51,7,0,43,1,7,36,5,0,32,1,4,25,4,0,18,0,4,2,0,0,2,0,1,2,0,0,2,0,1,2,0,0,1,0,1,2,0,0,5,0,0,4,0,0,1,0,1,4,0,0,1,0,1
2018020112,2018-10-20,55.2,6,2,24,5,1,22,2,0,11,0,0,23,3,0,4,0,0,4,0,0,7,4,0,2,5,0,47,17,0,40,1,4,38,12,0,33,1,2,23,8,0,22,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,2,0,5,0,0,3,2,0,5,0,0
2018020125,2018-10-23,48.56666666666667,1.9,9.533333333333333,29,3,3,17,2,10,21,0,3,21,0,0,4,0,1,2,0,1,2,2,5,15,0,0,53,5,1,52,0,24,38,5,1,35,0,19,27,5,0,23,0,16,2,2,0,0,0,1,2,2,0,0,0,1,2,2,0,0,0,1,6,0,0,0,0,0,3,0,0,2,0,1,3,0,0,2,0,1
2018020134,2018-10-25,44.68333333333334,9.383333333333333,5.933333333333334,12,4,5,24,4,3,15,1,0,16,0,1,14,0,1,4,1,2,8,12,6,6,2,4,35,12,1,38,1,12,22,11,1,28,1,9,17,7,1,19,1,6,2,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,1,0,4,0,0,2,0,0,1,0,1,2,0,0,1,0,1
