playerId,mP_2_ev,mP_2_pp,mP_2_sh,mP_2_all,x_2_ev,x_2_pp,x_2_sh,x_2_all,y_2_ev,y_2_pp,y_2_sh,y_2_all,iCorsiF_2_ev,iCorsiF_2_pp,iCorsiF_2_sh,iCorsiF_2_all,iFenwickF_2_ev,iFenwickF_2_pp,iFenwickF_2_sh,iFenwickF_2_all,iSOGF_2_ev,iSOGF_2_pp,iSOGF_2_sh,iSOGF_2_all,iGF_2_ev,iGF_2_pp,iGF_2_sh,iGF_2_all,ixGF_2_ev,ixGF_2_pp,ixGF_2_sh,ixGF_2_all,oCorsiF_2_ev,oCorsiF_2_pp,oCorsiF_2_sh,oCorsiF_2_all,oFenwickF_2_ev,oFenwickF_2_pp,oFenwickF_2_sh,oFenwickF_2_all,oSOGF_2_ev,oSOGF_2_pp,oSOGF_2_sh,oSOGF_2_all,oGF_2_ev,oGF_2_pp,oGF_2_sh,oGF_2_all,oxGF_2_ev,oxGF_2_pp,oxGF_2_sh,oxGF_2_all,oCorsiA_2_ev,oCorsiA_2_pp,oCorsiA_2_sh,oCorsiA_2_all,oFenwickA_2_ev,oFenwickA_2_pp,oFenwickA_2_sh,oFenwickA_2_all,oSOGA_2_ev,oSOGA_2_pp,oSOGA_2_sh,oSOGA_2_all,oGA_2_ev,oGA_2_pp,oGA_2_sh,oGA_2_all,oxGA_2_ev,oxGA_2_pp,oxGA_2_sh,oxGA_2_all,mP_3_ev,mP_3_pp,mP_3_sh,mP_3_all,x_3_ev,x_3_pp,x_3_sh,x_3_all,y_3_ev,y_3_pp,y_3_sh,y_3_all,iCorsiF_3_ev,iCorsiF_3_pp,iCorsiF_3_sh,iCorsiF_3_all,iFenwickF_3_ev,iFenwickF_3_pp,iFenwickF_3_sh,iFenwickF_3_all,iSOGF_3_ev,iSOGF_3_pp,iSOGF_3_sh,iSOGF_3_all,iGF_3_ev,iGF_3_pp,iGF_3_sh,iGF_3_all,ixGF_3_ev,ixGF_3_pp,ixGF_3_sh,ixGF_3_all,oCorsiF_3_ev,oCorsiF_3_pp,oCorsiF_3_sh,oCorsiF_3_all,oFenwickF_3_ev,oFenwickF_3_pp,oFenwickF_3_sh,oFenwickF_3_all,oSOGF_3_ev,oSOGF_3_pp,oSOGF_3_sh,oSOGF_3_all,oGF_3_ev,oGF_3_pp,oGF_3_sh,oGF_3_all,oxGF_3_ev,oxGF_3_pp,oxGF_3_sh,oxGF_3_all,oCorsiA_3_ev,oCorsiA_3_pp,oCorsiA_3_sh,oCorsiA_3_all,oFenwickA_3_ev,oFenwickA_3_pp,oFenwickA_3_sh,oFenwickA_3_all,oSOGA_3_ev,oSOGA_3_pp,oSOGA_3_sh,oSOGA_3_all,oGA_3_ev,oGA_3_pp,oGA_3_sh,oGA_3_all,oxGA_3_ev,oxGA_3_pp,oxGA_3_sh,oxGA_3_all
8470613,54504,2377,7507,64388,45.741379310344826,46.7,-36.333333333333336,44.85098039215686,-15.349137931034482,1.6,5.333333333333333,-13.776470588235295,232,20,3,255,151,15,2,168,102,7,2,111,8,0,0,8,3.5365008181760715,0.6234562474547033,0.0014481086729154278,4.161405174303689,654,41,24,719,462,32,23,517,322,18,18,358,35,1,0,36,29.113984094984666,1.8822100812012807,1.3017448047515294,32.29793898093747,458,6,92,556,325,6,74,405,211,4,50,265,13,1,6,20,19.76084621980428,0.6545869214494776,7.1773325122140434,27.592765653467797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8470621,30926,7576,0,38502,67.7128712871287,77.03225806451613,NA,69.90151515151516,-5.920792079207921,-3,NA,-5.234848484848484,101,31,0,132,74,30,0,104,46,22,0,68,6,4,0,10,6.104424088276102,4.919369741931796,0,11.023793830207897,291,102,0,393,202,74,0,276,113,46,0,159,13,10,0,23,13.58093235821219,9.391054475434897,0,22.97198683364709,217,18,0,235,151,16,0,167,96,13,0,109,9,2,0,11,12.484054565011629,1.5612261803845113,0,14.045280745396141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8471214,47252,15872,111,63235,63.31120331950208,59.640776699029125,58.5,62.190751445086704,-0.008298755186721992,16.533980582524272,-5.5,4.884393063583815,241,103,2,346,162,80,2,244,94,50,1,145,18,3,0,21,15.620780332512107,8.322691355459384,0.13955700623362813,24.083028694205133,551,284,2,837,379,228,2,609,226,150,1,377,31,17,0,48,30.045834370476296,25.718049913752147,0.13955700623362813,55.903441290462,418,31,1,450,312,28,1,341,208,24,1,233,23,2,0,25,22.955421626015212,1.9937864843356958,0.1629261791596374,25.11213428951055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8471215,35947,7268,8,43223,66.88392857142857,69,NA,67.47096774193548,-1.6428571428571428,-5.27906976744186,NA,-2.6516129032258067,112,43,0,155,90,35,0,125,68,26,0,94,10,3,0,13,8.64490198591744,4.413813574417161,0,13.058715560334601,286,103,0,389,225,80,0,305,151,55,0,206,22,12,0,34,18.825785324415904,9.608484310223137,0,28.434269634639037,212,13,0,225,159,13,0,172,100,11,0,111,9,1,0,10,11.305611628494821,0.6513391603536759,0,11.956950788848497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8471675,55249,10421,143,65813,68.06369426751593,74.08620689655173,NA,69.68837209302326,1.694267515923567,-2.103448275862069,NA,0.6697674418604651,157,58,0,215,124,45,0,169,83,35,0,118,17,10,0,27,9.770837773067615,5.486622563475107,0,15.257460336542719,555,198,1,754,413,151,0,564,268,112,0,380,34,21,0,55,29.691028122547056,17.031529349053677,0,46.72255747160079,497,24,1,522,358,24,1,383,229,21,1,251,26,3,1,30,28.80727007657365,1.6523429413184871,0.05471989813377554,30.514332916025914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8471685,35192,7997,2280,45469,62.32,75.96969696969697,NA,66.49074074074075,3.453333333333333,4.878787878787879,NA,3.888888888888889,75,33,0,108,58,25,0,83,31,18,0,49,3,3,0,6,4.599809060056885,3.311158461361327,0,7.910967521418213,334,134,2,470,237,97,2,336,144,68,1,213,19,10,0,29,14.66614980062464,10.397286903304328,0.36612388339025753,25.42956058731922,299,9,40,348,207,8,36,251,135,6,28,169,8,2,5,15,14.93058491763921,1.1826319947963322,4.189564376709613,20.302781289145177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8471724,57823,4256,4209,66288,55.21264367816092,52.166666666666664,-60.166666666666664,51.416666666666664,-11.425287356321839,-12.833333333333334,-5.5,-11.328125,174,12,6,192,105,8,6,119,67,5,6,78,2,1,0,3,4.508874342149158,0.2833809336608507,0.00929550118592429,4.801550776995934,609,67,10,686,438,56,9,503,274,33,7,314,32,7,0,39,30.175494994176415,5.696752696403478,0.11819582771961794,35.9904435182995,532,18,60,610,390,18,41,449,257,14,24,295,22,1,3,26,29.770839993529396,1.5270139731079593,3.951617987129511,35.24947195376689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8471817,21926,47,26,21999,67,NA,NA,67,-4.625,NA,NA,-4.625,48,0,0,48,34,0,0,34,23,0,0,23,3,0,0,3,3.1134256553423043,0,0,3.1134256553423043,151,1,0,152,107,1,0,108,70,0,0,70,6,0,0,6,6.750478203721964,0.036926856341815424,0,6.787405060063779,169,0,0,169,116,0,0,116,78,0,0,78,7,0,0,7,7.187048442098709,0,0,7.187048442098709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8473419,36530,10475,3210,50215,64.74137931034483,69.57894736842105,66.54545454545455,65.96280991735537,-0.8390804597701149,-3,6.636363636363637,-1.0082644628099173,174,57,11,242,140,42,9,191,89,26,7,122,19,6,0,25,10.857397905909083,4.353481871770289,0.9633588502076373,16.174238627887014,467,216,17,700,349,158,14,521,226,102,11,339,31,18,0,49,26.280254487933092,15.22266726891454,1.5169092589137412,43.019831015761376,369,23,38,430,290,21,28,339,192,17,15,224,25,3,1,29,26.414379525415118,2.528237645977298,2.651766690264933,31.59438386165735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8473422,20728,2679,2086,25493,68.925,84.66666666666667,NA,70.02325581395348,2.1,-2,NA,1.813953488372093,40,3,0,43,31,3,0,34,22,3,0,25,2,0,0,2,1.8870303645529884,0.5455342691285894,0,2.4325646336815776,152,36,3,191,106,25,3,134,61,16,1,78,8,2,0,10,6.736839422521715,2.2887534681609467,0.09111842364399336,9.116711314326654,189,3,31,223,128,3,23,154,81,1,17,99,8,0,2,10,8.198355244107654,0.18369698160193548,2.6292333109410944,11.01128553665069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
