teamId,franchiseId,teamFullName,leagueId,teamTriCodeRaw,teamTriCode
1,23,New Jersey Devils,133,NJD,NJD
2,22,New York Islanders,133,NYI,NYI
3,10,New York Rangers,133,NYR,NYR
4,16,Philadelphia Flyers,133,PHI,PHI
5,17,Pittsburgh Penguins,133,PIT,PIT
6,6,Boston Bruins,133,BOS,BOS
7,19,Buffalo Sabres,133,BUF,BUF
8,1,Montréal Canadiens,133,MTL,MTL
9,30,Ottawa Senators,133,OTT,OTT
10,5,Toronto Maple Leafs,133,TOR,TOR
11,35,Atlanta Thrashers,133,ATL,ATL
12,26,Carolina Hurricanes,133,CAR,CAR
13,33,Florida Panthers,133,FLA,FLA
14,31,Tampa Bay Lightning,133,TBL,TBL
15,24,Washington Capitals,133,WSH,WSH
16,11,Chicago Blackhawks,133,CHI,CHI
17,12,Detroit Red Wings,133,DET,DET
18,34,Nashville Predators,133,NSH,NSH
19,18,St. Louis Blues,133,STL,STL
20,21,Calgary Flames,133,CGY,CGY
21,27,Colorado Avalanche,133,COL,COL
22,25,Edmonton Oilers,133,EDM,EDM
23,20,Vancouver Canucks,133,VAN,VAN
24,32,Anaheim Ducks,133,ANA,ANA
25,15,Dallas Stars,133,DAL,DAL
26,14,Los Angeles Kings,133,LAK,LAK
27,28,Phoenix Coyotes,133,PHX,PHX
28,29,San Jose Sharks,133,SJS,SJS
29,36,Columbus Blue Jackets,133,CBJ,CBJ
30,37,Minnesota Wild,133,MIN,MIN
31,15,Minnesota North Stars,133,MNS,MNS
32,27,Quebec Nordiques,133,QUE,QUE
33,28,Winnipeg Jets (1979),133,WIN,WIN
34,26,Hartford Whalers,133,HFD,HFD
35,23,Colorado Rockies,133,CLR,CLR
36,3,Ottawa Senators (1917),133,SEN,SEN
37,4,Hamilton Tigers,133,HAM,HAM
38,9,Pittsburgh Pirates,133,PIR,PIR
39,9,Philadelphia Quakers,133,QUA,QUA
40,12,Detroit Cougars,133,DCG,DCG
41,2,Montreal Wanderers,133,MWN,MWN
42,4,Quebec Bulldogs,133,QBD,QBD
43,7,Montreal Maroons,133,MMR,MMR
44,8,New York Americans,133,NYA,NYA
45,3,St. Louis Eagles,133,SLE,SLE
46,13,Oakland Seals,133,OAK,OAK
47,21,Atlanta Flames,133,AFM,AFM
48,23,Kansas City Scouts,133,KCS,KCS
49,13,Cleveland Barons,133,CLE,CLE
50,12,Detroit Falcons,133,DFL,DFL
51,8,Brooklyn Americans,133,BRK,BRK
52,35,Winnipeg Jets,133,WPG,WPG
53,28,Arizona Coyotes,133,ARI,ARI
54,38,Vegas Golden Knights,133,VGK,VGK
55,39,Seattle Kraken,133,SEA,SEA
56,13,California Golden Seals,133,CGS,CGS
57,5,Toronto Arenas,133,TAN,TAN
58,5,Toronto St. Patricks,133,TSP,TSP
59,40,Utah Hockey Club,133,UTA,UTA
68,40,Utah Mammoth,133,UTA,UTA
70,NA,To be determined,133,TBD,TBD
99,NA,NHL,133,NHL,NHL
