triCode,age,startSeason,endSeason,term,AAV,value,bonus,SYC,TYC,playerId,isFirst,isLast,prevTerm,prevAAV
NJD,41,20142015,20142015,1,5500000,5500000,NA,2846774,2846774,8448208,FALSE,FALSE,1,2000000
FLA,42,20152016,20152016,1,3500000,3500000,NA,5405000,5405000,8448208,FALSE,FALSE,1,5500000
FLA,43,20162017,20162017,1,5515000,5515000,NA,4000000,4000000,8448208,FALSE,FALSE,1,3500000
CGY,44,20172018,20172018,1,1000000,1000000,NA,623656,623656,8448208,FALSE,TRUE,1,5515000
PHI,38,20142015,20142015,1,3500000,3500000,NA,1223118,1223118,8459670,FALSE,TRUE,1,9000000
TBL,38,20142015,20142015,1,1550000,1550000,NA,516666,516666,8460705,FALSE,TRUE,1,3250000
NYI,37,20142015,20142015,1,775000,775000,NA,650000,650000,8460720,FALSE,TRUE,2,662500
ARI,39,20162017,20162017,1,5000000,5000000,2500000,3876134,3876134,8462038,FALSE,TRUE,4,5300000
COL,36,20142015,20162017,3,5333333,16000000,NA,11000000,13750000,8462042,FALSE,TRUE,1,6000000
TOR,36,20142015,20162017,3,3000000,9000000,4000000,7000000,9000000,8462196,FALSE,TRUE,4,3300000
OTT,35,20142015,20152016,2,2500000,5000000,NA,5000000,5000000,8464956,FALSE,TRUE,3,3083333
PIT,38,20152016,20152016,1,800000,800000,NA,800000,800000,8464989,FALSE,FALSE,2,3500000
PIT,39,20162017,20162017,1,1000000,1000000,NA,1000000,1000000,8464989,FALSE,FALSE,1,800000
MIN,40,20172018,20172018,1,1000000,1000000,NA,1000000,1000000,8464989,FALSE,TRUE,1,1000000
BOS,40,20182019,20182019,1,5000000,5000000,NA,5000000,5000000,8465009,FALSE,FALSE,7,6500000
BOS,41,20192020,20192020,1,2000000,2000000,NA,2000000,2000000,8465009,FALSE,FALSE,1,5000000
WAS,42,20202021,20202021,1,795000,795000,NA,795000,795000,8465009,FALSE,TRUE,1,2000000
FLA,36,20142015,20152016,2,4250000,8500000,NA,8500000,8500000,8465185,FALSE,TRUE,2,3500000
FLA,36,20142015,20152016,2,1200000,2400000,NA,2400000,2400000,8465978,FALSE,TRUE,2,1100000
SJS,34,20142015,20162017,3,6750000,20250000,1000000,13500000,20250000,8466138,FALSE,FALSE,3,7000000
SJS,37,20172018,20172018,1,8000000,8000000,NA,8000000,8000000,8466138,FALSE,FALSE,3,6750000
SJS,38,20182019,20182019,1,5000000,5000000,NA,5000000,5000000,8466138,FALSE,FALSE,1,8000000
SJS,39,20192020,20192020,1,2000000,2000000,NA,2000000,2000000,8466138,FALSE,TRUE,1,5000000
SJS,34,20142015,20162017,3,6666667,20000000,1000000,13500000,20000000,8466139,FALSE,FALSE,4,6900000
TOR,37,20172018,20192020,3,6250000,18750000,14500000,14500000,18750000,8466139,FALSE,TRUE,3,6666667
NSH,35,20142015,20142015,1,2500000,2500000,NA,551075,551075,8466140,FALSE,TRUE,2,4500000
DET,35,20142015,20142015,1,2500000,2500000,250000,2750000,2750000,8466149,FALSE,FALSE,1,1750000
DET,36,20152016,20152016,1,950000,950000,NA,950000,950000,8466149,FALSE,TRUE,1,2500000
SJS,34,20142015,20142015,1,1000000,1000000,NA,1000000,1000000,8466158,FALSE,TRUE,1,1000000
TBL,34,20142015,20142015,1,1550000,1550000,NA,1550000,1550000,8466160,FALSE,TRUE,1,1500000
WAS,34,20142015,20152016,2,2000000,4000000,NA,4000000,4000000,8466251,FALSE,FALSE,2,1750000
NYI,36,20162017,20172018,2,2250000,4500000,NA,2551081,2551081,8466251,FALSE,TRUE,2,2000000
CHI,36,20162017,20162017,1,2250000,2250000,NA,1500000,1500000,8466285,FALSE,TRUE,8,7142875
NYR,37,20142015,20152016,2,4500000,9000000,NA,9000000,9000000,8467096,FALSE,TRUE,6,6666667
OTT,33,20142015,20152016,2,3000000,6000000,NA,6000000,6000000,8467330,FALSE,TRUE,6,4500000
COL,35,20152016,20162017,2,3600000,7200000,NA,7200000,7200000,8467331,FALSE,TRUE,3,3600000
MTL,33,20142015,20142015,1,850000,850000,NA,850000,850000,8467334,FALSE,TRUE,3,2500000
NSH,34,20152016,20162017,2,4400000,8800000,NA,8800000,8800000,8467370,FALSE,FALSE,2,4200000
NSH,36,20172018,20172018,1,1000000,1000000,NA,220430,220430,8467370,FALSE,TRUE,2,4400000
NSH,33,20142015,20142015,1,1050000,1050000,NA,1050000,1050000,8467371,FALSE,FALSE,4,5500000
NSH,34,20152016,20162017,2,3500000,7000000,NA,7000000,7000000,8467371,FALSE,TRUE,1,1050000
CHI,33,20142015,20142015,1,2000000,2000000,NA,2000000,2000000,8467389,FALSE,FALSE,9,6500000
DET,34,20152016,20152016,1,4000000,4000000,NA,3000000,3000000,8467389,FALSE,TRUE,1,2000000
COL,34,20152016,20172018,3,4500000,13500000,NA,9000000,13500000,8467400,FALSE,FALSE,3,3500000
ANA,36,20172018,20172018,1,1000000,1000000,NA,1000000,1000000,8467400,FALSE,TRUE,3,4500000
BUF,34,20142015,20162017,3,4250000,12750000,3750000,9500000,12750000,8467407,FALSE,TRUE,5,5000000
ANA,36,20152016,20152016,1,1750000,1750000,NA,1750000,1750000,8467423,FALSE,TRUE,6,5500000
OTT,36,20162017,20162017,1,1500000,1500000,NA,1500000,1500000,8467493,FALSE,TRUE,3,1900000
MTL,35,20142015,20162017,3,5750000,17250000,NA,13000000,17250000,8467496,FALSE,TRUE,3,5750000
DET,35,20142015,20162017,3,7500000,22500000,7000000,15000000,20500000,8467514,FALSE,TRUE,7,6700000
VAN,33,20142015,20172018,4,7000000,28000000,NA,14000000,21000000,8467875,FALSE,TRUE,5,6100000
VAN,33,20142015,20172018,4,7000000,28000000,NA,14000000,21000000,8467876,FALSE,TRUE,5,6100000
NSH,33,20152016,20162017,2,2000000,4000000,NA,4000000,4000000,8467890,FALSE,TRUE,3,3166667
NJD,32,20142015,20142015,1,1500000,1500000,NA,1500000,1500000,8467899,FALSE,TRUE,6,5000000
OTT,33,20152016,20172018,3,4200000,12600000,NA,9500000,12600000,8467950,FALSE,FALSE,4,3187500
OTT,35,20172018,20192020,2,4750000,9500000,NA,8600000,12600000,8467950,FALSE,FALSE,3,4200000
BUF,40,20222023,20222023,1,1500000,1500000,NA,1500000,1500000,8467950,FALSE,TRUE,2,4750000
OTT,35,20162017,20162017,1,900000,900000,NA,900000,900000,8467967,FALSE,FALSE,4,3000000
ANA,36,20172018,20172018,1,1250000,1250000,NA,282258,282258,8467967,FALSE,TRUE,1,900000
FLA,32,20142015,20162017,3,1300000,3900000,NA,2600000,3900000,8468001,FALSE,FALSE,2,1000000
FLA,34,20162017,20182019,2,1375000,2750000,NA,2950000,4050000,8468001,FALSE,TRUE,3,1300000
VAN,33,20142015,20162017,3,6000000,18000000,3000000,12000000,18000000,8468011,FALSE,FALSE,5,6250000
ANA,36,20172018,20182019,2,2000000,4000000,NA,4000000,4000000,8468011,FALSE,FALSE,3,6000000
ANA,38,20192020,20192020,1,1125000,1125000,NA,1125000,1125000,8468011,FALSE,FALSE,2,2000000
ANA,39,20202021,20202021,1,1000000,1000000,NA,1000000,1000000,8468011,FALSE,TRUE,1,1125000
VAN,32,20142015,20152016,2,5000000,10000000,2000000,10000000,10000000,8468085,FALSE,FALSE,3,3000000
ARI,34,20162017,20162017,1,3250000,3250000,NA,1000000,1000000,8468085,FALSE,FALSE,2,5000000
FLA,35,20172018,20172018,1,2500000,2500000,NA,2500000,2500000,8468085,FALSE,TRUE,1,3250000
SJS,34,20152016,20172018,3,3275000,9825000,750000,6550000,9825000,8468208,FALSE,TRUE,4,3000000
MTL,35,20142015,20142015,1,1750000,1750000,NA,1750000,1750000,8468478,FALSE,TRUE,2,1100000
ANA,32,20142015,20142015,1,1000000,1000000,NA,231182,231182,8468482,FALSE,TRUE,6,7500000
LAK,31,20142015,20202021,7,4875000,34125000,1000000,12150000,18225000,8468483,FALSE,TRUE,5,7500000
NSH,34,20172018,20172018,1,1000000,1000000,NA,1000000,1000000,8468486,FALSE,TRUE,6,4750000
CAR,32,20142015,20162017,3,2833333,8500000,NA,6000000,7250000,8468493,FALSE,FALSE,1,2000000
TOR,35,20172018,20182019,2,3000000,6000000,NA,6000000,6000000,8468493,FALSE,FALSE,3,2833333
OTT,37,20192020,20192020,1,3500000,3500000,NA,3500000,3500000,8468493,FALSE,TRUE,2,3000000
WAS,33,20142015,20182019,5,5500000,27500000,5000000,12000000,17500000,8468498,FALSE,FALSE,6,3750000
WAS,37,20182019,20182019,1,1000000,1000000,NA,1500000,1500000,8468498,FALSE,TRUE,5,5500000
NSH,31,20142015,20142015,1,1000000,1000000,NA,1000000,1000000,8468501,FALSE,TRUE,6,4250000
ARI,24,20232024,20232024,1,775000,775000,NA,165000,165000,8468503,FALSE,FALSE,2,1350000
VAN,25,20242025,20242025,1,775000,775000,NA,775000,775000,8468503,FALSE,TRUE,1,775000
FLA,31,20142015,20152016,2,2625000,5250000,NA,5250000,5250000,8468504,FALSE,TRUE,1,1000000
STL,31,20142015,20152016,2,2600000,5200000,NA,5200000,5200000,8468505,FALSE,TRUE,4,2950000
WAS,33,20152016,20162017,2,3250000,6500000,NA,6500000,6500000,8468508,FALSE,FALSE,4,3650000
CAR,35,20172018,20182019,2,4500000,9000000,NA,9000000,9000000,8468508,FALSE,TRUE,2,3250000
PHI,31,20142015,20142015,1,1250000,1250000,NA,1250000,1250000,8468513,FALSE,FALSE,6,3500000
PHI,32,20152016,20162017,2,2250000,4500000,NA,4500000,4500000,8468513,FALSE,TRUE,1,1250000
ANA,33,20142015,20142015,1,2880000,2880000,NA,1176774,1176774,8468524,FALSE,TRUE,1,2000000
NYR,32,20152016,20152016,1,800000,800000,NA,507526,507526,8468526,FALSE,TRUE,3,3250000
ARI,32,20152016,20162017,2,3750000,7500000,NA,7500000,7500000,8468535,FALSE,FALSE,5,3750000
ANA,33,20162017,20172018,2,1750000,3500000,NA,3402780,3402780,8468535,FALSE,TRUE,2,3750000
SJS,33,20152016,20182019,4,4850000,19400000,NA,10750000,15150000,8468542,FALSE,TRUE,5,5000000
NYR,33,20142015,20152016,2,1500000,3000000,NA,3000000,3000000,8468575,FALSE,FALSE,1,1000000
BOS,35,20162017,20162017,1,900000,900000,NA,900000,900000,8468575,FALSE,FALSE,2,1500000
TOR,36,20172018,20172018,1,1000000,1000000,NA,1000000,1000000,8468575,FALSE,TRUE,1,900000
BOS,35,20162017,20162017,1,2250000,2250000,NA,2250000,2250000,8468639,FALSE,TRUE,4,3875000
CGY,31,20142015,20162017,3,2916667,8750000,500000,6000000,8750000,8468674,FALSE,FALSE,3,566667
VGK,34,20172018,20172018,1,1000000,1000000,NA,1000000,1000000,8468674,FALSE,FALSE,3,2916667
VGK,35,20182019,20182019,1,1500000,1500000,NA,1500000,1500000,8468674,FALSE,TRUE,1,1000000
NYR,31,20142015,20202021,7,8500000,59500000,8000000,21000000,30500000,8468685,FALSE,FALSE,6,6875000
WAS,37,20202021,20202021,1,1500000,1500000,NA,1500000,1500000,8468685,FALSE,TRUE,7,8500000
NYR,31,20142015,20152016,2,800000,1600000,NA,NA,NA,8468695,FALSE,TRUE,3,3500000
LAK,34,20182019,20202021,3,6250000,18750000,13150000,14500000,18750000,8469454,FALSE,TRUE,15,6666667
DAL,31,20152016,20182019,4,7500000,30000000,NA,15000000,22500000,8469455,FALSE,TRUE,7,7000000
MIN,33,20172018,20192020,2,5500000,11000000,NA,11400000,16400000,8469459,FALSE,FALSE,7,6750000
CBJ,36,20202021,20202021,1,1500000,1500000,NA,1500000,1500000,8469459,FALSE,TRUE,2,5500000
DAL,33,20162017,20172018,2,3750000,7500000,2000000,7500000,7500000,8469465,FALSE,FALSE,6,4500000
NSH,35,20182019,20192020,2,1250000,2500000,NA,2500000,2500000,8469465,FALSE,TRUE,2,3750000
DAL,30,20142015,20162017,3,4000000,12000000,NA,8000000,12000000,8469466,FALSE,FALSE,2,5000000
MTL,33,20172018,20172018,1,1000000,1000000,NA,1000000,1000000,8469466,FALSE,TRUE,3,4000000
BUF,31,20152016,20152016,1,900000,900000,NA,900000,900000,8469470,FALSE,TRUE,2,2500000
PIT,30,20142015,20142015,1,1200000,1200000,NA,483871,483871,8469473,FALSE,TRUE,3,1700000
CAR,30,20142015,20142015,1,1200000,1200000,NA,277419,277419,8469476,FALSE,TRUE,4,4000000
NSH,30,20142015,20142015,1,1000000,1000000,NA,559139,559139,8469485,FALSE,TRUE,1,4000000
COL,32,20162017,20162017,1,2000000,2000000,NA,2000000,2000000,8469492,FALSE,TRUE,6,4500000
NJD,31,20142015,20182019,5,5000000,25000000,NA,10000000,15000000,8469500,FALSE,FALSE,5,6000000
LAK,34,20172018,20172018,1,1000000,1000000,NA,779520,779520,8469500,FALSE,TRUE,5,5000000
WPG,30,20142015,20162017,3,1200000,3600000,NA,2400000,3600000,8469501,FALSE,FALSE,3,866667
STL,33,20172018,20182019,2,900000,1800000,NA,962907,962907,8469501,FALSE,TRUE,3,1200000
MIN,31,20142015,20182019,5,5600000,28000000,2500000,11750000,18000000,8469506,FALSE,TRUE,7,3785714
CAR,30,20142015,20142015,1,1000000,1000000,NA,1000000,1000000,8469508,FALSE,FALSE,2,1500000
CAR,31,20152016,20162017,2,1200000,2400000,NA,2400000,2400000,8469508,FALSE,TRUE,1,1000000
TBL,34,20172018,20182019,2,1025000,2050000,NA,2050000,2050000,8469514,FALSE,TRUE,2,1400000
MTL,32,20152016,20172018,2,6000000,12000000,NA,12000000,13129044,8469521,FALSE,TRUE,6,5000000
CHI,35,20172018,20172018,1,800000,800000,NA,800000,800000,8469544,FALSE,TRUE,5,5900000
NJD,31,20152016,20152016,1,825000,825000,NA,825000,825000,8469547,FALSE,TRUE,3,1900000
PHI,31,20142015,20142015,1,1000000,1000000,NA,1000000,1000000,8469548,FALSE,TRUE,1,1650000
PIT,31,20142015,20142015,1,4000000,4000000,NA,4000000,4000000,8469555,FALSE,FALSE,10,4000000
LAK,32,20152016,20152016,1,1500000,1500000,NA,1275000,1275000,8469555,FALSE,TRUE,1,4000000
BUF,30,20142015,20162017,3,1500000,4500000,NA,3500000,4500000,8469591,FALSE,TRUE,3,1200000
ANA,33,20152016,20172018,2,4000000,8000000,NA,4000000,8000000,8469598,FALSE,TRUE,5,4600000
EDM,36,20192020,20192020,1,2000000,2000000,NA,2000000,2000000,8469608,FALSE,FALSE,6,5666667
EDM,37,20202021,20202021,1,1500000,1500000,NA,1500000,1500000,8469608,FALSE,FALSE,1,2000000
EDM,38,20212022,20222023,2,2200000,4400000,NA,4400000,4400000,8469608,FALSE,TRUE,1,1500000
BOS,32,20142015,20172018,4,4000000,16000000,1000000,8500000,13000000,8469619,FALSE,FALSE,4,3250000
NYI,34,20162017,20162017,1,1000000,1000000,NA,1000000,1000000,8469619,FALSE,FALSE,4,4000000
NYI,35,20172018,20172018,1,1250000,1250000,NA,1250000,1250000,8469619,FALSE,TRUE,1,1000000
NJD,36,20142015,20142015,1,3000000,3000000,NA,661290,661290,8469623,FALSE,FALSE,1,3000000
NYI,37,20152016,20152016,1,1500000,1500000,NA,1500000,1500000,8469623,FALSE,TRUE,1,3000000
FLA,30,20142015,20172018,4,4000000,16000000,NA,8000000,12000000,8469638,FALSE,FALSE,3,3000000
EDM,33,20172018,20172018,1,1100000,1100000,NA,187720,187720,8469638,FALSE,TRUE,4,4000000
ARI,32,20142015,20142015,1,800000,800000,NA,800000,800000,8469664,FALSE,TRUE,2,2100000
DAL,33,20152016,20162017,2,3750000,7500000,NA,4604153,4604153,8469665,FALSE,TRUE,3,3375000
TOR,31,20152016,20152016,1,1500000,1500000,NA,1500000,1500000,8469707,FALSE,FALSE,4,4000000
NYI,32,20162017,20162017,1,1250000,1250000,NA,277760,277760,8469707,FALSE,TRUE,1,1500000
DAL,33,20142015,20152016,2,1250000,2500000,NA,2500000,2500000,8469759,FALSE,TRUE,3,1800000
ARI,32,20152016,20162017,2,3200000,6400000,NA,6400000,6400000,8469760,FALSE,TRUE,5,4000000
NYI,33,20182019,20182019,1,2750000,2750000,NA,2750000,2750000,8470047,FALSE,FALSE,5,5000000
DET,34,20192020,20202021,2,3000000,6000000,NA,6000000,6000000,8470047,FALSE,TRUE,1,2750000
FLA,31,20152016,20162017,2,575000,1150000,NA,587364,587364,8470093,FALSE,TRUE,2,500000
MTL,30,20142015,20152016,2,2800000,5600000,NA,5600000,5600000,8470104,FALSE,FALSE,1,900000
LAK,32,20162017,20162017,1,1400000,1400000,NA,1120000,1120000,8470104,FALSE,TRUE,2,2800000
STL,32,20162017,20162017,1,900000,900000,NA,900000,900000,8470105,FALSE,FALSE,4,3500000
STL,33,20172018,20172018,1,800000,800000,NA,800000,800000,8470105,FALSE,TRUE,1,900000
DET,33,20172018,20192020,3,3166667,9500000,NA,7300000,9500000,8470110,FALSE,TRUE,6,3300000
MTL,30,20152016,20152016,1,1100000,1100000,NA,1100000,1100000,8470120,FALSE,TRUE,5,7000000
LAK,30,20142015,20172018,4,2500000,10000000,NA,5000000,7500000,8470121,FALSE,TRUE,5,2950000
DET,31,20162017,20212022,6,5250000,31500000,NA,12000000,18000000,8470144,FALSE,TRUE,4,2750000
CBJ,31,20152016,20162017,2,800000,1600000,NA,1199960,1199960,8470147,FALSE,FALSE,2,585000
TOR,33,20172018,20182019,2,850000,1700000,NA,1700000,1700000,8470147,FALSE,FALSE,2,800000
TBL,35,20192020,20202021,2,1300000,2600000,NA,2600000,2600000,8470147,FALSE,TRUE,2,850000
STL,30,20142015,20182019,5,5400000,27000000,NA,10600000,16200000,8470151,FALSE,FALSE,5,6680000
STL,35,20192020,20192020,1,3250000,3250000,NA,3250000,3250000,8470151,FALSE,TRUE,5,5400000
PHI,32,20162017,20162017,1,950000,950000,NA,950000,950000,8470159,FALSE,TRUE,3,3000000
CGY,30,20142015,20172018,4,3125000,12500000,750000,7000000,10000000,8470162,FALSE,TRUE,4,3500000
CBJ,31,20152016,20162017,2,1500000,3000000,NA,3000000,3000000,8470169,FALSE,TRUE,3,1600000
NYI,30,20152016,20212022,7,6000000,42000000,NA,14500000,21500000,8470187,FALSE,TRUE,3,3366667
DAL,31,20162017,20162017,1,2000000,2000000,NA,2000000,2000000,8470201,FALSE,TRUE,4,4000000
STL,29,20142015,20162017,3,5800000,17400000,NA,10900000,17400000,8470257,FALSE,FALSE,4,3362500
STL,31,20162017,20202021,4,5750000,23000000,NA,13500000,20500000,8470257,FALSE,TRUE,3,5800000
COL,31,20142015,20152016,2,800000,1600000,NA,1600000,1600000,8470317,FALSE,TRUE,2,525000
DET,29,20142015,20192020,6,4250000,25500000,1000000,8500000,12750000,8470318,FALSE,TRUE,3,3250000
CAR,31,20162017,20172018,2,3300000,6600000,NA,6600000,6600000,8470320,FALSE,FALSE,6,6300000
CHI,33,20182019,20182019,1,3000000,3000000,NA,3000000,3000000,8470320,FALSE,TRUE,2,3300000
