playerId,mP_2_all,x_2_all,y_2_all,CorsiA_2_all,FenwickA_2_all,SOGA_2_all,GA_2_all,xGA_2_all,mP_3_all,x_3_all,y_3_all,CorsiA_3_all,FenwickA_3_all,SOGA_3_all,GA_3_all,xGA_3_all,seasonId
8455710,355.71666666666664,59.56306306306306,0.5720720720720721,222,222,169,17,14.794416722422191,0,NA,NA,0,0,0,0,0,20142015
8460705,553.4333333333333,61.50898203592814,1.0778443113772456,334,334,245,29,24.17090761774015,0,NA,NA,0,0,0,0,0,20142015
8466141,3528.1833333333334,57.649724692926725,0.2554002541296061,2362,2362,1743,138,144.17734083384087,0,NA,NA,0,0,0,0,0,20142015
8466339,101.58333333333331,64.67142857142858,0.8142857142857143,70,70,54,8,6.37767298476752,0,NA,NA,0,0,0,0,0,20142015
8467391,207.46666666666667,55.847328244274806,0.32061068702290074,131,131,99,9,6.9431243734747206,0,NA,NA,0,0,0,0,0,20142015
8467950,2092.516666666667,59.42201834862385,-0.6277850589777195,1526,1526,1134,87,93.96496342418992,246.95,57.935135135135134,-1.4162162162162162,185,185,142,4,8.377602148525057,20142015
8467972,519.0166666666667,60.17933130699088,-0.6139817629179332,329,329,223,25,22.35561328238145,0,NA,NA,0,0,0,0,0,20142015
8468011,2541.516666666667,59.25192649673978,-0.1748666271487848,1687,1687,1199,107,115.05151199945222,156.16666666666666,60.255319148936174,3.904255319148936,94,94,67,6,6.386117214705943,20142015
8468524,329.48333333333335,57.98550724637681,-0.4975845410628019,207,207,150,23,13.517705168201571,0,NA,NA,0,0,0,0,0,20142015
8468540,486.46666666666664,59.068403908794785,0.06514657980456026,307,307,221,19,20.10648143030225,0,NA,NA,0,0,0,0,0,20142015
8468685,2742.6,60.69234913793103,-0.30926724137931033,1857,1857,1329,103,124.2802852472981,1166.1666666666667,61.89974293059126,-2.2840616966580978,778,778,570,41,53.52995046585762,20142015
8469548,1569.5166666666669,60.19906542056075,-2.0495327102803738,1070,1070,758,80,67.225607559676,0,NA,NA,0,0,0,0,0,20142015
8469608,3555.7833333333333,59.91331845238095,0.7946428571428571,2688,2688,1955,187,180.5685420218462,0,NA,NA,0,0,0,0,0,20142015
8470093,60,54.55555555555556,0.2,45,45,34,5,2.768797963884022,0,NA,NA,0,0,0,0,0,20142015
8470140,3697.6833333333334,58.98678247734139,0.00188821752265861,2648,2648,1875,181,174.9805759063247,0,NA,NA,0,0,0,0,0,20142015
8470147,1710.0166666666669,59.55494505494506,2.2119309262166404,1274,1274,949,82,87.70665796689707,0,NA,NA,0,0,0,0,0,20142015
8470320,3025.7166666666667,59.357361963190186,1.2924335378323109,1956,1956,1351,121,125.7240805237731,0,NA,NA,0,0,0,0,0,20142015
8470594,3776.983333333333,59.2914979757085,-0.15910931174089069,2470,2470,1831,146,165.86743591655218,311.73333333333335,64.2415458937198,2.3043478260869565,207,207,150,11,14.69071573955501,20142015
8470645,3333.3333333333335,60.18792866941015,-1.0530406950160036,2187,2187,1661,126,143.29154831767758,1222.7833333333333,62.38816568047337,-1.6840236686390533,845,845,616,47,49.94849807099411,20142015
8470657,2970.65,58.11397260273973,0.7561643835616438,1825,1825,1350,121,117.60745686595044,20,60.888888888888886,5.222222222222222,18,18,12,1,1.4225471489845745,20142015
8470860,3549.95,61.19965502371712,-0.12289780077619664,2319,2319,1673,144,175.35037171037044,417.73333333333335,58.163333333333334,0.03666666666666667,300,300,215,16,17.63757500446901,20142015
8470880,2545.8,60.176361386138616,-0.25123762376237624,1616,1616,1150,96,102.9966123421854,26.183333333333337,61.09090909090909,6.818181818181818,11,11,7,1,0.5670163252892636,20142015
8471219,976.9333333333332,59.535276073619634,0.7254601226993865,652,652,453,49,43.80139014955787,0,NA,NA,0,0,0,0,0,20142015
8471227,3328.2,58.320853286895954,-0.34653896386591204,2297,2297,1625,115,135.3288727056955,570.4166666666666,59.96623376623376,-0.06493506493506493,385,385,260,24,21.807361262127188,20142015
8471239,3923.9166666666665,59.41799544419134,-0.6837509491268033,2634,2634,1982,148,185.89570281301556,0,NA,NA,0,0,0,0,0,20142015
8471251,646.9833333333333,58.06293706293706,-0.28205128205128205,429,429,294,35,29.025195011305925,0,NA,NA,0,0,0,0,0,20142015
